"","group","Season","Year","Week","date","cases_H3","cases_total","Source","log_count","dt","gr","gr_smooth","date_int","log_y","fitted_log","fitted_se","lower","upper","r_week","lower_r","upper_r"
"480","15-44","2023/24",2023,27,2023-07-09,0.504913772,2.019655088,"RCGP",0.00490173882511887,7,-0.167806070298526,-0.0866587391720849,27,-0.502669356728871,-0.0515421652666262,0.195614732430116,-0.434947040829653,0.331862710296401,0.212913274462362,0.217097036786223,0.208729512138501
"481","15-44","2023/24",2023,28,2023-07-16,0.826222536,2.478667608,"RCGP",0.282334702720332,7,0.277432963895213,0.0924776546317376,28,-0.076640753553673,0.118536125299528,0.192054275783274,-0.257890255235689,0.494962505834745,0.170078290566154,0.177056785593964,0.163099795538344
"482","15-44","2023/24",2023,29,2023-07-23,1.39233797733333,4.177013932,"RCGP",0.637813089630556,7,0.355478386910224,0.155035093502304,29,0.40034400249117,0.24583974230371,0.188853814059778,-0.124313733253455,0.615993217860875,0.127303617004182,0.133576521982234,0.12103071202613
"483","15-44","2023/24",2023,30,2023-07-30,1.239333804,2.478667608,"RCGP",0.553502168648153,7,-0.0843109209824023,0.182866809941012,30,0.292172329143187,0.335173958459573,0.18746351351838,-0.0322545280364506,0.702602444955597,0.0893342161558635,0.0920592052170044,0.0866092270947226
"484","15-44","2023/24",2023,31,2023-08-06,1.549167255,3.09833451,"RCGP",0.717433493548641,7,0.163931324900487,0.145032930276103,31,0.500270466572242,0.39521602878609,0.18826963183519,0.0262075503891179,0.764224507183062,0.0600420703265164,0.0584620784255685,0.0616220622274644
"485","15-44","2023/24",2023,32,2023-08-13,0.8778614445,3.511445778,"RCGP",0.320532619277807,7,-0.396900874270834,-0.10576015678425,32,-0.0223872912741751,0.437340089497485,0.190478735233211,0.0640017684403911,0.810678410554579,0.042124060711395,0.0377942180512733,0.0464539033715168
"486","15-44","2023/24",2023,33,2023-08-20,0.734420032,2.937680128,"RCGP",0.210601250062165,7,-0.109931369215642,-0.11430030619533,33,-0.181018367913571,0.47428071443837,0.192688807019188,0.0966106526807604,0.851950776195979,0.0369406249408847,0.0326088842403692,0.0412723656414
"487","15-44","2023/24",2023,34,2023-08-27,1.5422820672,3.855705168,"RCGP",0.714067843013985,7,0.50346659295182,-0.00112188351155188,34,0.496086778981297,0.518783641820143,0.193697688644065,0.139136172077776,0.89843111156251,0.0445029273817739,0.0425255193970161,0.0464803353665317
"488","15-44","2023/24",2023,35,2023-09-03,3.64149932533333,5.462248988,"RCGP",1.42105787815223,7,0.706990035138244,0.366841752958141,35,1.31948642021842,0.5823827727912,0.193065448168017,0.203974494381887,0.960791051200514,0.0635991309710572,0.0648383223041105,0.0623599396380038
"489","15-44","2023/24",2023,36,2023-09-10,1.7350673256,2.891778876,"RCGP",0.804271350922796,7,-0.616786527229433,0.19789003362021,36,0.607081170533755,0.674417971085798,0.191241719466973,0.299584200930531,1.04925174124107,0.0920351982945977,0.095609706548644,0.0884606900405515
"490","15-44","2023/24",2023,37,2023-09-17,2.52456886,5.04913772,"RCGP",1.10676855570523,7,0.302497204782432,0.130900237563748,37,0.964916638744571,0.801372156047491,0.189279226839082,0.43038487144289,1.17235944065209,0.126954184961693,0.130800670512359,0.123107699411027
"491","15-44","2023/24",2023,38,2023-09-24,3.534396404,5.301594606,"RCGP",1.39485670044546,7,0.288088144740229,-0.00873372590225692,38,1.29044304602827,0.96656357775154,0.188259946606777,0.597574082402257,1.33555307310082,0.165191421704049,0.167189210959367,0.163193632448732
"492","15-44","2023/24",2023,39,2023-10-01,5.095038972,10.190077944,"RCGP",1.72188030724454,7,0.327023606799087,0.30586965210725,39,1.64770412635173,1.17018545335238,0.188694846966319,0.80034355329839,1.54002735340636,0.203621875600835,0.202769470896133,0.204474280305537
"493","15-44","2023/24",2023,40,2023-10-08,4.81963146,12.85235056,"RCGP",1.67140402651788,7,-0.050476280726667,0.188211823604216,40,1.59323362119452,1.40964566385108,0.19024996131856,1.03675573966671,1.78253558803546,0.239460210498708,0.236412186368316,0.242508234629101
"494","15-44","2023/24",2023,41,2023-10-15,2.66882993771429,9.340904782,"RCGP",1.15336241493125,7,-0.518041611586632,-0.080498095171404,41,1.01842482580376,1.68012852221579,0.191979383553108,1.3038489304517,2.05640811397988,0.270482858364704,0.26709319078499,0.273872525944418
"495","15-44","2023/24",2023,42,2023-10-22,6.52125644485714,15.216265038,"RCGP",1.94894218277146,7,0.795579767840211,0.0756872918423042,42,1.89028514723571,1.97528198357677,0.192883684516054,1.5972299619253,2.35333400522823,0.29515346136098,0.293381031473605,0.296925891248355
"496","15-44","2023/24",2023,43,2023-10-29,11.1605615577143,19.530982726,"RCGP",2.4562123408016,7,0.507270158030145,0.261602771427908,43,2.42130649337866,2.28792867424005,0.192436532911029,1.91075306973443,2.66510427874566,0.312646690663278,0.313523107809127,0.311770273517429
"497","15-44","2023/24",2023,44,2023-11-05,10.0370737706667,22.583415984,"RCGP",2.35489987370009,7,-0.10131246710151,0.400512486256282,44,2.31619937374052,2.61070757450892,0.190832116628036,2.23667662591797,2.98473852309987,0.322778900268871,0.325923556183538,0.319634244354204
"498","15-44","2023/24",2023,45,2023-11-12,16.7284562844444,30.111221312,"RCGP",2.84656245189132,7,0.491662578191226,0.299206756373287,45,2.82307127995804,2.93657320843965,0.188879011748241,2.56637034541309,3.3067760714662,0.325865633930729,0.329693719495128,0.32203754836633
"499","15-44","2023/24",2023,46,2023-11-19,15.0372501552,25.062083592,"RCGP",2.74324037659169,7,-0.103322075299624,0.0956760119300308,46,2.71715860371905,3.25910748580221,0.187587419581833,2.89143614342181,3.6267788281826,0.322534277362562,0.325065798008721,0.320002756716403
"500","15-44","2023/24",2023,47,2023-11-26,29.0141813892,41.448830556,"RCGP",3.38487087289213,7,0.641630496300434,0.343323666397345,47,3.3712253884315,3.57263169858877,0.187624418400676,3.20488783852345,3.9403755586541,0.313524212786562,0.31345169510163,0.313596730471494
"501","15-44","2023/24",2023,48,2023-12-03,32.913897757647,55.953626188,"RCGP",3.50897191396519,7,0.124101041073063,0.220803154024625,48,3.49692861698129,3.87213803704622,0.18893769229621,3.50182016014565,4.24245591394679,0.299506338457451,0.296932321622204,0.302080355292697
"502","15-44","2023/24",2023,49,2023-12-10,75.3261755603226,122.90060223,"RCGP",4.32844355705252,7,0.819471643087329,0.528401060153609,49,4.32315437074167,4.15308704838228,0.190797732641598,3.77912349240474,4.52705060435981,0.280949011336054,0.277303332259095,0.284594690413014
"503","15-44","2023/24",2023,50,2023-12-17,159.020672132898,251.355255952,"RCGP",5.07217351967568,7,0.743729962623156,0.562434215594516,50,5.06966285859975,4.4111362046474,0.192223225295162,4.03437868306888,4.78789372622591,0.258049156265121,0.255255190664134,0.260843121866107
"504","15-44","2023/24",2023,51,2023-12-24,190.163590737692,329.616890612,"RCGP",5.25051057008694,7,0.17833705041126,0.580512885373915,51,5.24841043039373,4.64187289577923,0.19250534674588,4.26456241615731,5.01918337540116,0.230736691131836,0.23018373308843,0.231289649175243
"505","15-44","2023/24",2023,52,2023-12-31,106.66016550675,189.618072012,"RCGP",4.67432458915776,7,-0.576185980929172,0.115293677368415,52,4.67058487480442,4.84062193342655,0.191553265631511,4.46517753278879,5.21606633406431,0.198749037647314,0.200615116631477,0.196882958663151
"506","15-44","2023/24",2024,1,2024-01-07,165.217638174439,307.905598416,"RCGP",5.11028536520346,7,0.435960776045695,0.0127039485092609,53,5.1078687031541,5.00238380996622,0.189929454042335,4.63012208004324,5.3746455398892,0.161761876539675,0.16494454725446,0.15857920582489
"507","15-44","2023/24",2024,2,2024-01-14,120.089150545,240.17830109,"RCGP",4.7923893179328,7,-0.317896047270659,-0.152707084051379,54,4.78906675633842,5.12193768867357,0.188568849236039,4.75234274417093,5.49153263317621,0.119553878707348,0.122220664127688,0.116887093287009
"508","15-44","2023/24",2024,3,2024-01-21,191.821332108,383.642664216,"RCGP",5.25916757784116,7,0.466778259908357,0.194947662894464,55,5.25708555946192,5.1941156829945,0.188288103684765,4.82507099977236,5.56316036621664,0.0721779943209322,0.0727282556014295,0.0716277330404349
"509","15-44","2023/24",2024,4,2024-01-28,271.94996151227,550.080603968,"RCGP",5.6074549697638,7,0.348287391922642,0.165723201520113,56,5.60598573145892,5.21422633169539,0.189325790171518,4.84314778295922,5.58530488043157,0.0201106487008902,0.0180767831868529,0.0221445142149275
"510","15-44","2023/24",2024,5,2024-02-04,229.247852951704,431.838978816,"RCGP",5.43698241604177,7,-0.170472553722034,0.214864366036322,57,5.4352398595505,5.17857931895615,0.191198873353073,4.80382952718413,5.55332911072817,-0.0356470127392399,-0.0393182557750862,-0.0319757697033936
"511","15-44","2023/24",2024,6,2024-02-11,197.223456920845,378.45582274,"RCGP",5.28686937220684,7,-0.150113043834925,0.00923393145522766,58,5.28484429557577,5.08504402826148,0.192973342522501,4.70681627691738,5.46327177960558,-0.0935352906946738,-0.0970132502667536,-0.0900573311225941
"512","15-44","2023/24",2024,7,2024-02-18,125.864398587586,260.71911136,"RCGP",4.83916978529627,7,-0.447699586910574,-0.256095061489178,59,4.83599931613428,4.93356417001512,0.193762364915455,4.55378993478082,5.31333840524941,-0.151479858246363,-0.153026342136553,-0.149933374356173
"513","15-44","2023/24",2024,8,2024-02-25,88.6311447709091,194.988518496,"RCGP",4.49010882189397,7,-0.349060963402294,-0.315624531382598,60,4.4856109524986,4.72655096419975,0.19316404678454,4.34794943250205,5.10515249589745,-0.207013205815364,-0.20584050227877,-0.208185909351958
"514","15-44","2023/24",2024,9,2024-03-03,59.1942545792,129.487431892,"RCGP",4.08923577756301,7,-0.400873044330964,-0.399211198214611,61,4.08251241394386,4.46908825707654,0.191450612938544,4.093845055717,4.84433145843609,-0.257462707123207,-0.254104376785055,-0.26082103746136
"515","15-44","2023/24",2024,10,2024-03-10,53.01594606,136.32671844,"RCGP",3.979979666688,7,-0.109256110875008,-0.286396706202755,62,3.97247718561435,4.1689031645557,0.189449495093602,3.79758215417224,4.54022417493916,-0.300185092520841,-0.296262901544755,-0.304107283496927
"516","15-44","2023/24",2024,11,2024-03-17,58.5866889163637,148.72005648,"RCGP",4.07900566920244,7,0.09902600251444,-0.137034384230511,63,4.07221293649153,3.83608280673032,0.188153125834976,3.46730268009377,4.20486293336688,-0.332820357825379,-0.330279474078472,-0.335361241572286
"517","15-44","2023/24",2024,12,2024-03-24,30.5066782523077,99.14670432,"RCGP",3.43420260877777,7,-0.644803060424668,-0.218344389595079,64,3.42121822868615,3.48254799564774,0.18821188015684,3.11365271054033,3.85144328075514,-0.353534811082587,-0.353649969553439,-0.353419652611735
"518","15-44","2023/24",2024,13,2024-03-31,16.3939945301053,51.914316012,"RCGP",2.82695820552789,7,-0.607244403249881,-0.38434048705337,65,2.80299634678174,3.12132450508922,0.189583227414891,2.74974137935604,3.49290763082241,-0.361223490558515,-0.363911331184296,-0.358535649932733
"519","15-44","2023/24",2024,14,2024-04-07,16.2796440426667,48.838932128,"RCGP",2.82016648762375,7,-0.0067917179041399,-0.41961306052623,66,2.79603934697187,2.76567800505564,0.191566987789485,2.39020670898825,3.14114930112303,-0.355646500033583,-0.359534670367787,-0.351758329699379
"520","15-44","2023/24",2024,15,2024-04-14,13.4089032405,35.757075308,"RCGP",2.63252915598997,7,-0.187637331633784,-0.267224484262602,67,2.60334896736659,2.42819665993999,0.193198023812508,2.04952853326747,2.8068647866125,-0.337481345115653,-0.340678175720777,-0.334284514510529
"521","15-44","2023/24",2024,16,2024-04-21,7.642558458,22.927675374,"RCGP",2.09710443751,7,-0.535424718479971,-0.243284589339298,68,2.04673218311118,2.11991350510972,0.193737689457794,1.74018763377244,2.49963937644699,-0.308283154830271,-0.309340899495031,-0.307225410165511
"522","15-44","2023/24",2024,17,2024-04-28,8.13982202133334,30.52433258,"RCGP",2.15638198322108,7,0.0592775457110819,-0.221261501467558,69,2.10897874433536,1.84955800727231,0.193007342529506,1.47126361591448,2.22785239863014,-0.270355497837409,-0.268924017857965,-0.271786977816852
"523","15-44","2023/24",2024,18,2024-05-05,9.340904782,28.022714346,"RCGP",2.28654765622732,7,0.130165673006242,-0.115327166587549,70,2.24505182111537,1.62301300904358,0.191442572990088,1.247785565983,1.99824045210415,-0.22654499822873,-0.223478049931471,-0.229611946525989
"524","15-44","2023/24",2024,19,2024-05-12,4.56011284292308,19.760488986,"RCGP",1.62138878402365,7,-0.665158872203669,-0.158571884495449,71,1.53903966306391,1.44303118326226,0.189864469294351,1.07089682344533,1.81516554307918,-0.179981825781322,-0.176888742537676,-0.183074909024967
"525","15-44","2023/24",2024,20,2024-05-19,3.855705168,12.85235056,"RCGP",1.47148651866618,7,-0.149902265357476,-0.228298488184968,72,1.37515888317727,1.3092368792366,0.189059070592631,0.938681100875046,1.67979265759816,-0.133794304025655,-0.132215722570282,-0.135372885481027
"526","15-44","2023/24",2024,21,2024-05-26,2.06555634,7.22944719,"RCGP",0.942175351790207,7,-0.529311166875968,-0.448124101479038,73,0.772677298420229,1.21840825591737,0.18936234293042,0.847258063773748,1.589558448061,-0.0908286233192297,-0.0914230371012974,-0.090234209537162
