"","Source","Year","Week","Season","date","cases_H3","gr","gr_smooth","date_int","log_y","fitted_log","fitted_se","lower","upper","r_week","lower_r","upper_r"
"1151","FluNet",2025,14,"2024/25",2025-04-06,8,-0.663294217410264,-0.366204096222703,1981,2.09186406167839,2.41715888926805,0.323982354059805,1.78215347531083,3.05216430322526,-0.166358948843854,-0.166668970369019,-0.16604892731869
"1152","FluNet",2025,15,"2024/25",2025-04-13,7,-0.125163142954006,-0.262819120121423,1983,1.96009478404727,2.03506287211977,0.322591749710515,1.40278304268716,2.66734270155238,-0.191048008574136,-0.189685216311832,-0.19241080083644
"1153","FluNet",2025,16,"2024/25",2025-04-20,9,0.236388778064231,-0.18402286076668,1985,2.2082744135228,1.60950792631334,0.320450006725075,0.981425913132193,2.23758993949449,-0.212777472903217,-0.210678564777486,-0.214876381028948
"1154","FluNet",2025,17,"2024/25",2025-04-27,19,0.719122666963206,0.27678276735781,1987,2.94968833505258,1.15138811071903,0.319090079059675,0.525971555762067,1.77680466567599,-0.229059907797154,-0.227727178685063,-0.230392636909246
"1155","FluNet",2025,18,"2024/25",2025-05-04,6,-1.09861228866811,-0.0477002812135577,1989,1.80828877117927,0.675645374722519,0.31950109339902,0.0494232316604404,1.3018675177846,-0.237871367998256,-0.238274162050813,-0.237468573945698
"1156","FluNet",2025,19,"2024/25",2025-05-11,1,-1.46633706879343,-0.615275563499444,1991,0.0953101798043249,0.199852270988649,0.321348064889885,-0.429989936195526,0.829694478172824,-0.237896551866935,-0.239706583927983,-0.236086519805887
"1157","FluNet",2025,20,"2024/25",2025-05-18,0,-1.09861228866811,-1.22118721537655,1993,-2.30258509299405,-0.257486412466067,0.323205517007409,-0.890969225800588,0.375996400868454,-0.228669341727358,-0.230489644802531,-0.226849038652185
"1158","FluNet",2025,21,"2024/25",2025-05-25,0,0,-0.854983119153846,1995,-2.30258509299405,-0.678673743158799,0.32363940488177,-1.31300697672707,-0.0443405095905302,-0.210593665346366,-0.21101887546324,-0.210168455229492
"1159","FluNet",2025,22,"2024/25",2025-06-01,1,1.09861228866811,0,1997,0.0953101798043249,-1.0483707757886,0.322293148989938,-1.68006534780888,-0.416676203768321,-0.1848485163149,-0.183529185540905,-0.186167847088895
"1160","FluNet",2025,23,"2024/25",2025-06-08,1,0,0.366204096222703,1999,0.0953101798043249,-1.3547674960613,0.320203195263363,-1.98236575877749,-0.727169233345104,-0.153198360136348,-0.151150205484305,-0.155246514788391
