y,lb_50,ub_50,lb_95,ub_95,prop,time,pathogen,Year,Week,date,season,days_from_start,day_of_year,plot_label,peak_time,day_shifted,Influenza A not subtyped,Influenza A H1N1pdm09,Influenza A H3N2,Influenza B,Percentage testing positive for overall influenza,total_cases,H1_prop,H3_prop,H1_adj,H3_adj,Season,total,gr,gr_smooth
0.4711817597001229,0.3822598446365091,0.5625256269133632,0.2208055089516419,0.7317963038370324,0.9996666666666667,24,total,2011,50,2011-12-12,2011/12,154,346,Pre-pandemic,339,7,9,0,8,1,1.7,18,0,1,0,17,2011/12,18,0.32329970806467434,0.3166678496353751
0.36793614303110767,0.2860170930142316,0.4542887846653342,0.13033365380290685,0.6325646514153814,0.999,25,total,2011,51,2011-12-19,2011/12,161,353,Pre-pandemic,339,14,16,1,38,0,5.3,55,0.02564102564102564,0.97435897435897445,1,54,2011/12,55,1.1132377778870888,0.6495406856121517
0.11762397324210272,0.037549948109023124,0.19560390790850268,-0.10980257180787532,0.35280933981625695,0.8353333333333334,26,total,2011,52,2011-12-26,2011/12,168,360,Pre-pandemic,339,21,20,1,28,1,5.7,50,0.03448275862068965,0.9655172413793104,2,47,2011/12,50,-0.09512870806804972,0.6956547241499297
-0.0509170811820574,-0.1344771683971283,0.03263831153902186,-0.28767095588357394,0.18432421775462934,0.3433333333333333,27,total,2012,1,2012-01-02,2011/12,175,367,Pre-pandemic,339,28,5,0,16,1,2.4,22,0,1,0,21,2011/12,22,-0.818443399567112,0.13074134457915035
0.0395315426102576,-0.03714755731340902,0.11440803910168318,-0.189726537304928,0.2634538705933126,0.6406666666666667,28,total,2012,2,2012-01-09,2011/12,182,374,Pre-pandemic,339,35,4,0,26,1,3.6,31,0,1,0,30,2011/12,31,0.34163021066148125,0.1353239702283521
0.17430201319029104,0.0986756076063523,0.24954387760635277,-0.05647718108196866,0.39918248305955883,0.933,29,total,2012,3,2012-01-16,2011/12,189,381,Pre-pandemic,339,42,5,0,34,4,5.5,43,0,1,0,39,2011/12,43,0.3263151779245136,-0.061406679762291694
0.29503827038818686,0.22464397635584543,0.3690732883441603,0.08899422633569457,0.5049611381776667,0.9976666666666667,30,total,2012,4,2012-01-23,2011/12,196,388,Pre-pandemic,339,49,5,0,48,4,7.5,57,0,1,0,53,2011/12,57,0.28128111955226237,0.03269577714278629
0.3873331510229856,0.3181957328736731,0.4606830947042152,0.17618849644641496,0.5947583582700434,1,31,total,2012,5,2012-01-30,2011/12,203,395,Pre-pandemic,339,56,18,3,55,0,9.1,76,0.05172413793103448,0.9482758620689656,4,72,2011/12,76,0.2872441482056755,0.3091176640859832
0.4482860507279214,0.3833361281590746,0.5131990925878083,0.2646265155808383,0.6342946135970713,1,32,total,2012,6,2012-02-06,2011/12,210,402,Pre-pandemic,339,63,49,0,83,4,16.5,136,0,1,0,132,2011/12,136,0.5813416447897802,0.3690455226180579
0.33780749460656434,0.2778195392891163,0.3983036066566519,0.16315978549561477,0.5181187391912313,1,33,total,2012,7,2012-02-13,2011/12,217,409,Pre-pandemic,339,70,70,1,126,9,21.4,206,0.00787401574803149,0.9921259842519684,2,195,2011/12,206,0.41497157823899306,0.3912096226966778
0.07268183320955846,0.011517116131766203,0.13259246782478895,-0.09472666217423298,0.23461915553133644,0.7943333333333333,34,total,2012,8,2012-02-20,2011/12,224,416,Pre-pandemic,339,77,49,3,146,11,21.9,209,0.02013422818791946,0.9798657718120806,4,194,2011/12,209,0.014451118538174506,0.3245021224431558
-0.12655552146822036,-0.18902285613959124,-0.0695632962869639,-0.30057399597424883,0.03935061644416326,0.07,35,total,2012,9,2012-02-27,2011/12,231,423,Pre-pandemic,339,84,27,0,131,12,20,170,0,1,0,158,2011/12,170,-0.2064261070327718,0.20108455863354396
-0.17855292563351544,-0.2409269660063531,-0.11738327628824896,-0.35700790290195294,-0.0072840703174948266,0.021333333333333333,36,total,2012,10,2012-03-05,2011/12,238,430,Pre-pandemic,339,91,32,2,95,16,17.3,145,0.02061855670103092,0.979381443298969,3,126,2011/12,145,-0.15896333951167396,0.016008312558180457
-0.20030427226181446,-0.2605828107902666,-0.13634010976388722,-0.38283553370067125,-0.020414753978434334,0.015666666666666666,37,total,2012,11,2012-03-12,2011/12,245,437,Pre-pandemic,339,98,22,2,81,16,15,121,0.02409638554216867,0.9759036144578314,3,102,2011/12,121,-0.18080650933109557,-0.1329362093343417
-0.23860750604765935,-0.30312925687227854,-0.17451927296110847,-0.42683184864471124,-0.05210257710965719,0.005,38,total,2012,12,2012-03-19,2011/12,252,444,Pre-pandemic,339,105,18,1,72,12,13.5,103,0.0136986301369863,0.9863013698630136,1,90,2011/12,103,-0.1609172595361323,-0.17677830385291843
-0.3194046154888528,-0.38068532940194255,-0.25270267133239255,-0.5041085206773426,-0.11652257084530454,0.0013333333333333333,39,total,2012,13,2012-03-26,2011/12,259,451,Pre-pandemic,339,112,8,1,52,10,10.8,71,0.01886792452830188,0.981132075471698,1,60,2011/12,71,-0.37161205421371907,-0.21807479064815521
-0.33345543035016356,-0.40668103527137944,-0.2629453347820575,-0.5427832050808974,-0.12275553956932175,0.0016666666666666668,40,total,2012,14,2012-04-02,2011/12,266,458,Pre-pandemic,339,119,8,0,25,11,7.4,44,0,1,0,33,2011/12,44,-0.47762755435639476,-0.29774084435933545
-0.2857623854094058,-0.3610800521997555,-0.21099966841002749,-0.5105144907980773,-0.06306249113136023,0.005,41,total,2012,15,2012-04-09,2011/12,273,465,Pre-pandemic,339,126,2,0,18,15,6.8,35,0,1,0,20,2011/12,35,-0.2282586519809802,-0.3096038800218066
-0.24805072140489237,-0.328482743273242,-0.16993117258351742,-0.47600004584247924,-0.011762111929506058,0.02,42,total,2012,16,2012-04-16,2011/12,280,472,Pre-pandemic,339,133,8,0,14,12,6.3,34,0,1,0,22,2011/12,34,-0.02890374618234899,-0.27660050168336076
-0.2658057567029708,-0.34736729760906637,-0.1833786367238055,-0.49929332436957824,-0.02681508350840599,0.011666666666666667,43,total,2012,17,2012-04-23,2011/12,287,479,Pre-pandemic,339,140,4,2,10,9,4.7,25,0.16666666666666666,0.8333333333333334,3,13,2011/12,25,-0.3064295381517329,-0.26030487266786423
-0.27016763070839245,-0.35586003644041053,-0.18811709492869277,-0.5220947220793594,-0.024713992418571702,0.014333333333333333,44,total,2012,18,2012-04-30,2011/12,294,486,Pre-pandemic,339,147,1,0,4,7,2.2,12,0,1,0,5,2011/12,12,-0.7296623935350429,-0.3233135824625263
-0.22880365278616877,-0.319757128337938,-0.1427428905410053,-0.4846647073681282,0.03248090841433056,0.04,45,total,2012,19,2012-05-07,2011/12,301,493,Pre-pandemic,339,154,1,0,7,8,3.2,16,0,1,0,8,2011/12,16,0.28561381938772207,-0.19484546462035068
-0.21428477675394597,-0.3043102578948741,-0.12151126538330304,-0.47865131702783914,0.044108190297940685,0.05333333333333334,46,total,2012,20,2012-05-14,2011/12,308,500,Pre-pandemic,339,161,1,0,1,6,1.4,8,0,1,0,2,2011/12,8,-0.6869552103120243,-0.3593583306527695
-0.19668985486220047,-0.28830242635920045,-0.10394198993765652,-0.4647989167306478,0.0643224832653652,0.076,47,total,2012,21,2012-05-21,2011/12,315,507,Pre-pandemic,339,168,1,1,3,7,2.3,12,0.25,0.75,1,4,2011/12,12,0.4013413909243023,-0.1824155983837607
-0.21033328675655238,-0.30866877626778666,-0.11569055562550934,-0.4792635011338192,0.0736826139609824,0.068,48,total,2012,22,2012-05-28,2011/12,322,514,Pre-pandemic,339,175,2,1,3,2,1.7,8,0.25,0.75,1,5,2011/12,8,-0.4013413909243023,-0.10033534773107558
-0.21185735381426252,-0.3106833288345396,-0.11419756199805636,-0.50621558536351,0.07208375416200014,0.06866666666666667,49,total,2012,23,2012-06-04,2011/12,329,521,Pre-pandemic,339,182,0,0,2,2,1,4,0,1,0,2,2011/12,4,-0.680877087968131,-0.3419580745700388
-0.198069584928677,-0.292453774645346,-0.09363082527543726,-0.49859535290107737,0.08764410030224662,0.09633333333333334,50,total,2012,24,2012-06-11,2011/12,336,528,Pre-pandemic,339,189,0,0,2,4,1.3,6,0,1,0,2,2011/12,6,0.39730179746900346,-0.07089382262478187
-0.18292820626411965,-0.2837041047560581,-0.07942469317594048,-0.47646974349546917,0.10597337418014097,0.108,51,total,2012,25,2012-06-18,2011/12,343,535,Pre-pandemic,339,196,0,0,0,3,0.7,3,0,0,0,0,2011/12,3,-0.676886659688165,-0.3404508352778987
-0.14768591696813327,-0.25409773393931273,-0.03730050259180062,-0.43961174144744686,0.15810424054741698,0.18066666666666667,52,total,2012,26,2012-06-25,2011/12,350,542,Pre-pandemic,339,203,0,0,0,1,0.2,1,0,0,0,0,2011/12,1,-1.0360919316867756,-0.499138470468517
-0.0913612950775961,-0.18996808912159868,0.012348137963991535,-0.3934282182928557,0.20330221366093315,0.276,53,total,2012,27,2012-07-02,2012/13,0,184,Pre-pandemic,345,-161,0,0,2,5,1.6,7,0,1,0,2,2012/13,7,1.8647846042429448,0.13727695258425193
-0.07706311628941376,-0.1826390630247576,0.02326810977103555,-0.38369080563284386,0.23050541098820718,0.302,54,total,2012,28,2012-07-09,2012/13,7,191,Pre-pandemic,345,-154,0,0,0,1,0.2,1,0,0,0,0,2012/13,1,-1.8647846042429448,-0.4282446478437351
-0.04291621491949438,-0.14664572118337715,0.06189141897860992,-0.33866995638630126,0.2521144609390204,0.398,55,total,2012,29,2012-07-16,2012/13,14,198,Pre-pandemic,345,-147,0,0,0,2,0.4,2,0,0,0,0,2012/13,2,0.6466271649250523,-0.0973661916904309
-0.019330304417385924,-0.1277458568386051,0.08637766614243456,-0.3156567885534034,0.28618709227417155,0.45666666666666667,56,total,2012,30,2012-07-23,2012/13,21,205,Pre-pandemic,345,-140,0,1,1,1,0.8,3,0.5,0.5,1,1,2012/13,3,0.3894647667617233,0.25902298292169385
1.9773767910669093e-4,-0.10584742911210734,0.10360174533196218,-0.304399865739681,0.3065224218590839,0.5003333333333333,57,total,2012,31,2012-07-30,2012/13,28,212,Pre-pandemic,345,-133,0,0,0,2,0.5,2,0,0,0,0,2012/13,2,-0.38946476676172315,-0.3045393598294731
0.010222611720531294,-0.09397885103998163,0.11578443957915548,-0.2977802781279933,0.32735406815490264,0.53,58,total,2012,32,2012-08-06,2012/13,35,219,Pre-pandemic,345,-126,0,0,0,3,0.7,3,0,0,0,0,2012/13,3,0.3894647667617233,0.25902298292169396
0.014090405666711048,-0.08912787745029144,0.11730675274338545,-0.28510469251945975,0.34161769492785876,0.534,59,total,2012,33,2012-08-13,2012/13,42,226,Pre-pandemic,345,-119,0,0,2,0,0.5,2,0,1,0,2,2012/13,2,-0.38946476676172315,8.326672684688674e-17
