"","Source","Year","Week","Season","date","cases_total","gr","gr_smooth","date_int","log_y","fitted_log","fitted_se","lower","upper","r_week","lower_r","upper_r"
"14","FluNet",2012,14,"2011/12",2012-04-08,55,-1.47873392177026,-0.349790524188315,167,4.00914971615887,4.44199554938345,0.17874360903706,4.09165807567081,4.79233302309608,-0.134079310048675,-0.124520477052704,-0.143638143044645
"15","FluNet",2012,15,"2011/12",2012-04-15,54,-0.01818231908319,-0.334128085524519,169,3.99083418585244,4.13685346824081,0.173779478919885,3.79624568955784,4.47746124692379,-0.152571040571317,-0.147706193056485,-0.157435888086148
"16","FluNet",2012,16,"2011/12",2012-04-22,44,-0.202711512497004,-0.56654258445015,171,3.7864597824528,3.80631388436548,0.175755291527023,3.46183351297252,4.15079425575845,-0.165269791937665,-0.16720608829266,-0.163333495582669
"17","FluNet",2012,17,"2011/12",2012-04-29,48,0.0860746087712427,-0.044939740936317,173,3.87328217711172,3.46196275607005,0.183595506476486,3.10211556337614,3.82180994876397,-0.172175564147715,-0.179858974798189,-0.164492153497241
"18","FluNet",2012,18,"2011/12",2012-05-06,15,-1.14072377401824,-0.419120225914666,175,2.71469474382088,3.11538604166713,0.193571449271285,2.73598600109542,3.49478608223885,-0.173288357201459,-0.183064781140362,-0.163511933262557
"19","FluNet",2012,19,"2011/12",2012-05-13,18,0.176930708159078,-0.292572819029305,177,2.89591193827178,2.77816969946932,0.201059378116101,2.38409331836176,3.17224608057687,-0.168608171098909,-0.175946341366829,-0.16127000083099
"20","FluNet",2012,20,"2011/12",2012-05-20,8,-0.777704568588008,-0.580499211482389,179,2.09186406167839,2.46162927077901,0.202047698118451,2.06561578246685,2.85764275909118,-0.158270214345152,-0.159238767947455,-0.157301660742849
"21","FluNet",2012,21,"2011/12",2012-05-27,5,-0.435318071257845,-0.345363977228925,181,1.62924053973028,2.17100215898664,0.195977688421879,1.78688588967975,2.55511842829352,-0.145313555896189,-0.139364946393548,-0.15126216539883
"22","FluNet",2012,22,"2011/12",2012-06-03,6,0.167054084663166,-0.348656185060896,183,1.80828877117927,1.90552519135834,0.185881587744357,1.5411972793794,2.26985310333728,-0.13273848381415,-0.122844305150178,-0.142632662478121
"23","FluNet",2012,23,"2011/12",2012-06-10,11,0.570544858467613,0.100760290624311,185,2.40694510831829,1.66418029130973,0.175821313000981,1.31957051782781,2.00879006479166,-0.120672450024302,-0.110813380775794,-0.13053151927281
"24","FluNet",2012,24,"2011/12",2012-06-17,9,-0.191055236762709,0.182181235456023,187,2.2082744135228,1.44594938225644,0.169862973782388,1.11301795364296,1.77888081086992,-0.109115454526648,-0.103276282092427,-0.114954626960869
"25","FluNet",2012,25,"2011/12",2012-06-24,2,-1.33500106673234,-0.318503815009145,189,0.741937344729377,1.24981438761406,0.170554628783045,0.915527315199292,1.58410146002883,-0.0980674973211879,-0.0987453192218318,-0.097389675420544
"26","FluNet",2012,26,"2012/13",2012-07-01,1,-0.510825623765991,-0.678960642420347,191,0.0953101798043249,1.07475723079822,0.177543430204779,0.726772107596855,1.42274235399959,-0.087528578407919,-0.0943776038012186,-0.0806795530146193
"27","FluNet",2012,27,"2012/13",2012-07-08,4,1.09861228866811,-0.24907146727674,193,1.41098697371026,0.919759835224528,0.187774543202616,0.5517217305474,1.28779793990166,-0.077498697786847,-0.0875251885247272,-0.0674722070489668
