"","Source","Year","Week","Season","date","cases_H3","gr","gr_smooth","date_int","log_y","fitted_log","fitted_se","lower","upper","r_week","lower_r","upper_r"
"918","UKHSA",2013,33,"2013/14",2013-08-12,0,-1.09861228866811,0,308,-2.30258509299405,-0.727872381575668,0.314753637447968,-1.34478951097369,-0.11095525217765,0.0170368684001291,0.0123480083882466,0.0217257284120116
"919","UKHSA",2013,34,"2013/14",2013-08-19,3,1.94591014905531,0.648636716351771,310,1.1314021114911,-0.683278327458554,0.306240871703837,-1.28351043599807,-0.0830462189190326,0.0222970270585573,0.0306395374878058,0.0139545166293087
"920","UKHSA",2013,35,"2013/14",2013-08-26,0,-1.94591014905531,-0.366204096222703,312,-2.30258509299405,-0.628694041727511,0.28979506528507,-1.19669236968625,-0.0606957137687744,0.0272921428655211,0.043409033155913,0.0111752525751291
"921","UKHSA",2013,36,"2013/14",2013-09-02,2,1.6094379124341,0.5364793041447,314,0.741937344729377,-0.563224452103221,0.276073494750428,-1.10432850181406,-0.0221204023923822,0.0327347948121452,0.0461819339360943,0.0192876556881961
"922","UKHSA",2013,37,"2013/14",2013-09-09,2,0,-0.112157412207071,316,0.741937344729377,-0.485974045947497,0.273382493867224,-1.02180373392726,0.0498556420322619,0.0386252030778622,0.0412623839434023,0.0359880222123221
"923","UKHSA",2013,38,"2013/14",2013-09-16,7,1.09861228866811,0.902683400367403,317,1.96009478404727,-0.442651188970917,0.276687506855917,-0.984958702408515,0.0996563244666802,0.0433228569765792,0.0368450315187401,0.0498006824344183
"924","UKHSA",2013,39,"2013/14",2013-09-23,0,-2.70805020110221,-0.5364793041447,318,-2.30258509299405,-0.39604731062216,0.282185787485642,-0.949131454094017,0.157036832849698,0.0466038783487578,0.0358272483144977,0.0573805083830181
"925","UKHSA",2013,40,"2013/14",2013-09-30,0,0,-0.5364793041447,319,-2.30258509299405,-0.346050471821454,0.288665350424156,-0.911834558652801,0.219733615009893,0.0499968388007054,0.0372968954412165,0.0626967821601943
"926","UKHSA",2013,41,"2013/14",2013-10-07,0,0,-0.902683400367403,321,-2.30258509299405,-0.235430156545103,0.299108302827022,-0.821682430086066,0.350822116995861,0.0553101576381758,0.0450760642833674,0.0655442509929843
"927","UKHSA",2013,42,"2013/14",2013-10-14,1.33333333333333,1.29928298413026,0.43309432804342,323,0.360002734031407,-0.109900527307915,0.299250351095624,-0.696431215455339,0.476630160839508,0.0627648146185937,0.0626256073153636,0.0629040219218237
