"Measure","Time","Time_type","Geography","Geography_type","Geography_code","Ethnicity","Ethnicity_type","Age_Group","Value1","Value1_type","Value2","Value2_type","Numerator","Denominator"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Black Caribbean","ONS 2021 19+1","All","1.045531574","% of Total Age Group Population","100","% of Total Ethnic Group Population","623110","59597435"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Black Caribbean","ONS 2021 19+1","All","1.09654942","% of Total Age Group Population","100","% of Total Ethnic Group Population","619440","56489930"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Black Caribbean","ONS 2021 19+1","All","0.117658231","% of Total Age Group Population","100","% of Total Ethnic Group Population","3655","3106455"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Black Caribbean","ONS 2021 19+1","All","0.631131733","% of Total Age Group Population","100","% of Total Ethnic Group Population","30795","4879330"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Black Caribbean","ONS 2021 19+1","All","0.661059827","% of Total Age Group Population","100","% of Total Ethnic Group Population","41875","6334525"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Black Caribbean","ONS 2021 19+1","All","3.925462521","% of Total Age Group Population","100","% of Total Ethnic Group Population","345425","8799600"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Black Caribbean","ONS 2021 19+1","All","0.059146439","% of Total Age Group Population","100","% of Total Ethnic Group Population","1565","2645975"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Black Caribbean","ONS 2021 19+1","All","0.349148029","% of Total Age Group Population","100","% of Total Ethnic Group Population","25895","7416625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Black Caribbean","ONS 2021 19+1","All","0.468654424","% of Total Age Group Population","100","% of Total Ethnic Group Population","43480","9277625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Black Caribbean","ONS 2021 19+1","All","0.302069757","% of Total Age Group Population","100","% of Total Ethnic Group Population","17220","5700670"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Black Caribbean","ONS 2021 19+1","All","1.515746096","% of Total Age Group Population","100","% of Total Ethnic Group Population","90190","5950205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Black Caribbean","ONS 2021 19+1","All","0.414507299","% of Total Age Group Population","100","% of Total Ethnic Group Population","22715","5480000"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Any Other Black Background","ONS 2021 19+1","All","0.499660766","% of Total Age Group Population","100","% of Total Ethnic Group Population","297785","59597435"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Any Other Black Background","ONS 2021 19+1","All","0.52011925","% of Total Age Group Population","100","% of Total Ethnic Group Population","293815","56489930"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Any Other Black Background","ONS 2021 19+1","All","0.123935483","% of Total Age Group Population","100","% of Total Ethnic Group Population","3850","3106455"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Any Other Black Background","ONS 2021 19+1","All","0.326889143","% of Total Age Group Population","100","% of Total Ethnic Group Population","15950","4879330"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Any Other Black Background","ONS 2021 19+1","All","0.383533098","% of Total Age Group Population","100","% of Total Ethnic Group Population","24295","6334525"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Any Other Black Background","ONS 2021 19+1","All","1.658143552","% of Total Age Group Population","100","% of Total Ethnic Group Population","145910","8799600"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Any Other Black Background","ONS 2021 19+1","All","0.104498342","% of Total Age Group Population","100","% of Total Ethnic Group Population","2765","2645975"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Any Other Black Background","ONS 2021 19+1","All","0.287731954","% of Total Age Group Population","100","% of Total Ethnic Group Population","21340","7416625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Any Other Black Background","ONS 2021 19+1","All","0.29646596","% of Total Age Group Population","100","% of Total Ethnic Group Population","27505","9277625"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Any Other Black Background","ONS 2021 19+1","All","0.158139306","% of Total Age Group Population","100","% of Total Ethnic Group Population","9015","5700670"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Any Other Black Background","ONS 2021 19+1","All","0.549308805","% of Total Age Group Population","100","% of Total Ethnic Group Population","32685","5950205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Any Other Black Background","ONS 2021 19+1","All","0.254379562","% of Total Age Group Population","100","% of Total Ethnic Group Population","13940","5480000"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Mixed","ONS 2021 5+1","All","2.882464656","% of Total Age Group Population","100","% of Total Ethnic Group Population","1717875","59597435"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Mixed","ONS 2021 5+1","All","2.95518157","% of Total Age Group Population","100","% of Total Ethnic Group Population","1669380","56489930"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Mixed","ONS 2021 5+1","All","1.556436517","% of Total Age Group Population","100","% of Total Ethnic Group Population","48350","3106455"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Mixed","ONS 2021 5+1","All","2.398485038","% of Total Age Group Population","100","% of Total Ethnic Group Population","117030","4879330"
