"Measure","Time","Time_type","Geography","Geography_type","Geography_code","Ethnicity","Ethnicity_type","Age_Group","Value1","Value1_type","Value2","Value2_type","Numerator","Denominator"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Age 20 to 24","0.727854299","% of Total Age Group Population","8.695652174","% of Total Ethnic Group Population","2230","306380"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Age 20 to 24","1.007622886","% of Total Age Group Population","7.066775912","% of Total Ethnic Group Population","3450","342390"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Age 20 to 24","2.314213702","% of Total Age Group Population","7.988867731","% of Total Ethnic Group Population","13635","589185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Age 20 to 24","0.472610097","% of Total Age Group Population","9.021675454","% of Total Ethnic Group Population","770","162925"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Age 20 to 24","0.708641458","% of Total Age Group Population","8.376758729","% of Total Ethnic Group Population","3215","453685"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Age 20 to 24","1.022344422","% of Total Age Group Population","7.330787921","% of Total Ethnic Group Population","5280","516460"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Age 20 to 24","0.740506615","% of Total Age Group Population","8.137611644","% of Total Ethnic Group Population","2460","332205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Age 20 to 24","0.797996753","% of Total Age Group Population","8.405797101","% of Total Ethnic Group Population","2900","363410"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","Age 20 to 24","0.634094438","% of Total Age Group Population","8.774373259","% of Total Ethnic Group Population","2205","347740"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","White","ONS 2021 5+1","Age 20 to 24","76.44650928","% of Total Age Group Population","5.654497404","% of Total Ethnic Group Population","2753695","3602120"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","White","ONS 2021 5+1","Age 20 to 24","75.68411357","% of Total Age Group Population","5.644410648","% of Total Ethnic Group Population","2584200","3414455"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","White","ONS 2021 5+1","Age 20 to 24","90.30719633","% of Total Age Group Population","5.81266731","% of Total Ethnic Group Population","169475","187665"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","White","ONS 2021 5+1","Age 20 to 24","79.92362426","% of Total Age Group Population","5.858659569","% of Total Ethnic Group Population","244870","306380"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","White","ONS 2021 5+1","Age 20 to 24","82.38850434","% of Total Age Group Population","5.149281521","% of Total Ethnic Group Population","282090","342390"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","White","ONS 2021 5+1","Age 20 to 24","49.49209501","% of Total Age Group Population","6.163497552","% of Total Ethnic Group Population","291600","589185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","White","ONS 2021 5+1","Age 20 to 24","88.74021789","% of Total Age Group Population","5.871400173","% of Total Ethnic Group Population","144580","162925"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","White","ONS 2021 5+1","Age 20 to 24","80.76418661","% of Total Age Group Population","5.772846831","% of Total Ethnic Group Population","366415","453685"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","White","ONS 2021 5+1","Age 20 to 24","82.70437207","% of Total Age Group Population","5.333004548","% of Total Ethnic Group Population","427135","516460"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","White","ONS 2021 5+1","Age 20 to 24","89.45380112","% of Total Age Group Population","5.596911971","% of Total Ethnic Group Population","297170","332205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","White","ONS 2021 5+1","Age 20 to 24","69.71602322","% of Total Age Group Population","5.525934957","% of Total Ethnic Group Population","253355","363410"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","White","ONS 2021 5+1","Age 20 to 24","79.6428366","% of Total Age Group Population","5.917956334","% of Total Ethnic Group Population","276950","347740"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","White British","ONS 2021 19+1","Age 20 to 24","68.67192098","% of Total Age Group Population","5.576921668","% of Total Ethnic Group Population","2473645","3602120"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","White British","ONS 2021 19+1","Age 20 to 24","67.70846299","% of Total Age Group Population","5.565314373","% of Total Ethnic Group Population","2311875","3414455"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","White British","ONS 2021 19+1","Age 20 to 24","86.19348307","% of Total Age Group Population","5.747712534","% of Total Ethnic Group Population","161755","187665"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","White British","ONS 2021 19+1","Age 20 to 24","73.0220641","% of Total Age Group Population","5.762588316","% of Total Ethnic Group Population","223725","306380"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","White British","ONS 2021 19+1","Age 20 to 24","73.89672596","% of Total Age Group Population","5.088664214","% of Total Ethnic Group Population","253015","342390"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","White British","ONS 2021 19+1","Age 20 to 24","33.3579436","% of Total Age Group Population","6.067416424","% of Total Ethnic Group Population","196540","589185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","White British","ONS 2021 19+1","Age 20 to 24","85.0728863","% of Total Age Group Population","5.781170165","% of Total Ethnic Group Population","138605","162925"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","White British","ONS 2021 19+1","Age 20 to 24","75.64830224","% of Total Age Group Population","5.701657477","% of Total Ethnic Group Population","343205","453685"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","White British","ONS 2021 19+1","Age 20 to 24","75.15006002","% of Total Age Group Population","5.30576646","% of Total Ethnic Group Population","388120","516460"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","White British","ONS 2021 19+1","Age 20 to 24","83.73444108","% of Total Age Group Population","5.554346415","% of Total Ethnic Group Population","278170","332205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","White British","ONS 2021 19+1","Age 20 to 24","63.8314851","% of Total Age Group Population","5.425519847","% of Total Ethnic Group Population","231970","363410"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","White British","ONS 2021 19+1","Age 20 to 24","74.34146201","% of Total Age Group Population","5.833880581","% of Total Ethnic Group Population","258515","347740"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","White Irish","ONS 2021 19+1","Age 20 to 24","0.556894273","% of Total Age Group Population","3.952943031","% of Total Ethnic Group Population","20060","3602120"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","White Irish","ONS 2021 19+1","Age 20 to 24","0.568172666","% of Total Age Group Population","3.925099392","% of Total Ethnic Group Population","19400","3414455"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","White Irish","ONS 2021 19+1","Age 20 to 24","0.34902619","% of Total Age Group Population","4.971537002","% of Total Ethnic Group Population","655","187665"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","White Irish","ONS 2021 19+1","Age 20 to 24","0.341079705","% of Total Age Group Population","3.853244838","% of Total Ethnic Group Population","1045","306380"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","White Irish","ONS 2021 19+1","Age 20 to 24","0.496509828","% of Total Age Group Population","2.932045533","% of Total Ethnic Group Population","1700","342390"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","White Irish","ONS 2021 19+1","Age 20 to 24","0.939433285","% of Total Age Group Population","3.540360752","% of Total Ethnic Group Population","5535","589185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","White Irish","ONS 2021 19+1","Age 20 to 24","0.46033451","% of Total Age Group Population","8.976660682","% of Total Ethnic Group Population","750","162925"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","White Irish","ONS 2021 19+1","Age 20 to 24","0.758235339","% of Total Age Group Population","5.601237483","% of Total Ethnic Group Population","3440","453685"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","White Irish","ONS 2021 19+1","Age 20 to 24","0.539247957","% of Total Age Group Population","3.561153379","% of Total Ethnic Group Population","2785","516460"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","White Irish","ONS 2021 19+1","Age 20 to 24","0.427446908","% of Total Age Group Population","4.477376636","% of Total Ethnic Group Population","1420","332205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","White Irish","ONS 2021 19+1","Age 20 to 24","0.423763793","% of Total Age Group Population","3.216038425","% of Total Ethnic Group Population","1540","363410"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","White Irish","ONS 2021 19+1","Age 20 to 24","0.340771841","% of Total Age Group Population","4.702380952","% of Total Ethnic Group Population","1185","347740"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Gypsy or Irish Traveller","ONS 2021 19+1","Age 20 to 24","0.140334026","% of Total Age Group Population","7.462356067","% of Total Ethnic Group Population","5055","3602120"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Gypsy or Irish Traveller","ONS 2021 19+1","Age 20 to 24","0.138528696","% of Total Age Group Population","7.36702749","% of Total Ethnic Group Population","4730","3414455"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Gypsy or Irish Traveller","ONS 2021 19+1","Age 20 to 24","0.170516612","% of Total Age Group Population","9.261939219","% of Total Ethnic Group Population","320","187665"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Gypsy or Irish Traveller","ONS 2021 19+1","Age 20 to 24","0.117501142","% of Total Age Group Population","7.903402854","% of Total Ethnic Group Population","360","306380"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Gypsy or Irish Traveller","ONS 2021 19+1","Age 20 to 24","0.167937148","% of Total Age Group Population","6.435366536","% of Total Ethnic Group Population","575","342390"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Gypsy or Irish Traveller","ONS 2021 19+1","Age 20 to 24","0.094197917","% of Total Age Group Population","7.956989247","% of Total Ethnic Group Population","555","589185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Gypsy or Irish Traveller","ONS 2021 19+1","Age 20 to 24","0.135031456","% of Total Age Group Population","8.695652174","% of Total Ethnic Group Population","220","162925"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Gypsy or Irish Traveller","ONS 2021 19+1","Age 20 to 24","0.110208625","% of Total Age Group Population","8.802816901","% of Total Ethnic Group Population","500","453685"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Gypsy or Irish Traveller","ONS 2021 19+1","Age 20 to 24","0.221701584","% of Total Age Group Population","6.854235259","% of Total Ethnic Group Population","1145","516460"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Gypsy or Irish Traveller","ONS 2021 19+1","Age 20 to 24","0.132448338","% of Total Age Group Population","6.92368214","% of Total Ethnic Group Population","440","332205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Gypsy or Irish Traveller","ONS 2021 19+1","Age 20 to 24","0.130706365","% of Total Age Group Population","7.698541329","% of Total Ethnic Group Population","475","363410"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Gypsy or Irish Traveller","ONS 2021 19+1","Age 20 to 24","0.130844884","% of Total Age Group Population","7.804459691","% of Total Ethnic Group Population","455","347740"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Roma","ONS 2021 19+1","Age 20 to 24","0.265815686","% of Total Age Group Population","9.484893512","% of Total Ethnic Group Population","9575","3602120"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Roma","ONS 2021 19+1","Age 20 to 24","0.275446594","% of Total Age Group Population","9.48897745","% of Total Ethnic Group Population","9405","3414455"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Roma","ONS 2021 19+1","Age 20 to 24","0.09058695","% of Total Age Group Population","9.604519774","% of Total Ethnic Group Population","170","187665"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Roma","ONS 2021 19+1","Age 20 to 24","0.225210523","% of Total Age Group Population","9.663865546","% of Total Ethnic Group Population","690","306380"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Roma","ONS 2021 19+1","Age 20 to 24","0.233651684","% of Total Age Group Population","8.333333333","% of Total Ethnic Group Population","800","342390"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Roma","ONS 2021 19+1","Age 20 to 24","0.654293643","% of Total Age Group Population","10.24312475","% of Total Ethnic Group Population","3855","589185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Roma","ONS 2021 19+1","Age 20 to 24","0.113549179","% of Total Age Group Population","8.114035088","% of Total Ethnic Group Population","185","162925"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Roma","ONS 2021 19+1","Age 20 to 24","0.155394161","% of Total Age Group Population","9.710743802","% of Total Ethnic Group Population","705","453685"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Roma","ONS 2021 19+1","Age 20 to 24","0.21492468","% of Total Age Group Population","8.719560094","% of Total Ethnic Group Population","1110","516460"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Roma","ONS 2021 19+1","Age 20 to 24","0.155024759","% of Total Age Group Population","9.019264448","% of Total Ethnic Group Population","515","332205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Roma","ONS 2021 19+1","Age 20 to 24","0.159599351","% of Total Age Group Population","8.676140613","% of Total Ethnic Group Population","580","363410"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Roma","ONS 2021 19+1","Age 20 to 24","0.274630471","% of Total Age Group Population","10.13800425","% of Total Ethnic Group Population","955","347740"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Any Other White Background","ONS 2021 19+1","Age 20 to 24","6.811544313","% of Total Age Group Population","6.689176571","% of Total Ethnic Group Population","245360","3602120"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Any Other White Background","ONS 2021 19+1","Age 20 to 24","6.993502623","% of Total Age Group Population","6.660827506","% of Total Ethnic Group Population","238790","3414455"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Any Other White Background","ONS 2021 19+1","Age 20 to 24","3.503583513","% of Total Age Group Population","7.925028627","% of Total Ethnic Group Population","6575","187665"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Any Other White Background","ONS 2021 19+1","Age 20 to 24","6.217768784","% of Total Age Group Population","7.371149977","% of Total Ethnic Group Population","19050","306380"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Any Other White Background","ONS 2021 19+1","Age 20 to 24","7.593679722","% of Total Age Group Population","6.052211967","% of Total Ethnic Group Population","26000","342390"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Any Other White Background","ONS 2021 19+1","Age 20 to 24","14.44622657","% of Total Age Group Population","6.593666238","% of Total Ethnic Group Population","85115","589185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Any Other White Background","ONS 2021 19+1","Age 20 to 24","2.958416449","% of Total Age Group Population","9.313109844","% of Total Ethnic Group Population","4820","162925"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Any Other White Background","ONS 2021 19+1","Age 20 to 24","4.092046244","% of Total Age Group Population","7.324338186","% of Total Ethnic Group Population","18565","453685"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Any Other White Background","ONS 2021 19+1","Age 20 to 24","6.578437827","% of Total Age Group Population","5.792098197","% of Total Ethnic Group Population","33975","516460"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Any Other White Background","ONS 2021 19+1","Age 20 to 24","5.004440029","% of Total Age Group Population","6.453679082","% of Total Ethnic Group Population","16625","332205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Any Other White Background","ONS 2021 19+1","Age 20 to 24","5.170468617","% of Total Age Group Population","7.559542967","% of Total Ethnic Group Population","18790","363410"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Any Other White Background","ONS 2021 19+1","Age 20 to 24","4.555127394","% of Total Age Group Population","7.61154225","% of Total Ethnic Group Population","15840","347740"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Other","ONS 2021 5+1","Age 20 to 24","2.49630773","% of Total Age Group Population","7.161316784","% of Total Ethnic Group Population","89920","3602120"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Other","ONS 2021 5+1","Age 20 to 24","2.569516951","% of Total Age Group Population","7.13809179","% of Total Ethnic Group Population","87735","3414455"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Other","ONS 2021 5+1","Age 20 to 24","1.166973064","% of Total Age Group Population","8.300170551","% of Total Ethnic Group Population","2190","187665"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Other","ONS 2021 5+1","Age 20 to 24","1.516091129","% of Total Age Group Population","7.50949802","% of Total Ethnic Group Population","4645","306380"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Other","ONS 2021 5+1","Age 20 to 24","1.609275972","% of Total Age Group Population","6.392111369","% of Total Ethnic Group Population","5510","342390"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Other","ONS 2021 5+1","Age 20 to 24","6.60912956","% of Total Age Group Population","6.99391131","% of Total Ethnic Group Population","38940","589185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Other","ONS 2021 5+1","Age 20 to 24","1.209145312","% of Total Age Group Population","7.519083969","% of Total Ethnic Group Population","1970","162925"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Other","ONS 2021 5+1","Age 20 to 24","1.894486262","% of Total Age Group Population","7.80653951","% of Total Ethnic Group Population","8595","453685"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Other","ONS 2021 5+1","Age 20 to 24","1.773612671","% of Total Age Group Population","6.752423427","% of Total Ethnic Group Population","9160","516460"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Other","ONS 2021 5+1","Age 20 to 24","1.124305775","% of Total Age Group Population","7.670979667","% of Total Ethnic Group Population","3735","332205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Other","ONS 2021 5+1","Age 20 to 24","2.420131532","% of Total Age Group Population","7.08160554","% of Total Ethnic Group Population","8795","363410"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Other","ONS 2021 5+1","Age 20 to 24","1.836141945","% of Total Age Group Population","8.083813382","% of Total Ethnic Group Population","6385","347740"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Arab","ONS 2021 19+1","Age 20 to 24","0.765243801","% of Total Age Group Population","8.306714079","% of Total Ethnic Group Population","27565","3602120"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Arab","ONS 2021 19+1","Age 20 to 24","0.777137201","% of Total Age Group Population","8.287655189","% of Total Ethnic Group Population","26535","3414455"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Arab","ONS 2021 19+1","Age 20 to 24","0.548850345","% of Total Age Group Population","8.890807078","% of Total Ethnic Group Population","1030","187665"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Arab","ONS 2021 19+1","Age 20 to 24","0.390038514","% of Total Age Group Population","8.974840406","% of Total Ethnic Group Population","1195","306380"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Arab","ONS 2021 19+1","Age 20 to 24","0.281842344","% of Total Age Group Population","6.185897436","% of Total Ethnic Group Population","965","342390"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Arab","ONS 2021 19+1","Age 20 to 24","1.919600805","% of Total Age Group Population","8.090996888","% of Total Ethnic Group Population","11310","589185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Arab","ONS 2021 19+1","Age 20 to 24","0.497161271","% of Total Age Group Population","7.833655706","% of Total Ethnic Group Population","810","162925"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Arab","ONS 2021 19+1","Age 20 to 24","0.864035619","% of Total Age Group Population","8.940586156","% of Total Ethnic Group Population","3920","453685"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Arab","ONS 2021 19+1","Age 20 to 24","0.46470201","% of Total Age Group Population","8.120453392","% of Total Ethnic Group Population","2400","516460"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Arab","ONS 2021 19+1","Age 20 to 24","0.311554612","% of Total Age Group Population","10.0729927","% of Total Ethnic Group Population","1035","332205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Arab","ONS 2021 19+1","Age 20 to 24","0.720948791","% of Total Age Group Population","8.248071777","% of Total Ethnic Group Population","2620","363410"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Arab","ONS 2021 19+1","Age 20 to 24","0.652786565","% of Total Age Group Population","8.929976397","% of Total Ethnic Group Population","2270","347740"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","Any Other Ethnic Background","ONS 2021 19+1","Age 20 to 24","1.731063929","% of Total Age Group Population","6.74987416","% of Total Ethnic Group Population","62355","3602120"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","Any Other Ethnic Background","ONS 2021 19+1","Age 20 to 24","1.79237975","% of Total Age Group Population","6.733154736","% of Total Ethnic Group Population","61200","3414455"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","Any Other Ethnic Background","ONS 2021 19+1","Age 20 to 24","0.618122719","% of Total Age Group Population","7.837837838","% of Total Ethnic Group Population","1160","187665"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","Any Other Ethnic Background","ONS 2021 19+1","Age 20 to 24","1.126052614","% of Total Age Group Population","7.107540173","% of Total Ethnic Group Population","3450","306380"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","Any Other Ethnic Background","ONS 2021 19+1","Age 20 to 24","1.327433628","% of Total Age Group Population","6.437677054","% of Total Ethnic Group Population","4545","342390"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","Any Other Ethnic Background","ONS 2021 19+1","Age 20 to 24","4.689528756","% of Total Age Group Population","6.626137631","% of Total Ethnic Group Population","27630","589185"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North East","Regional","E12000001","Any Other Ethnic Background","ONS 2021 19+1","Age 20 to 24","0.711984042","% of Total Age Group Population","7.313997478","% of Total Ethnic Group Population","1160","162925"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","North West","Regional","E12000002","Any Other Ethnic Background","ONS 2021 19+1","Age 20 to 24","1.030450643","% of Total Age Group Population","7.05607124","% of Total Ethnic Group Population","4675","453685"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South East","Regional","E12000008","Any Other Ethnic Background","ONS 2021 19+1","Age 20 to 24","1.308910661","% of Total Age Group Population","6.371347785","% of Total Ethnic Group Population","6760","516460"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","South West","Regional","E12000009","Any Other Ethnic Background","ONS 2021 19+1","Age 20 to 24","0.812751163","% of Total Age Group Population","7.02850449","% of Total Ethnic Group Population","2700","332205"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","West Midlands","Regional","E12000005","Any Other Ethnic Background","ONS 2021 19+1","Age 20 to 24","1.699182741","% of Total Age Group Population","6.680731364","% of Total Ethnic Group Population","6175","363410"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Yorkshire and The Humber","Regional","E12000003","Any Other Ethnic Background","ONS 2021 19+1","Age 20 to 24","1.18335538","% of Total Age Group Population","7.682255204","% of Total Ethnic Group Population","4115","347740"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","All - England and Wales","National","K04000001","All","All","Age 25 to 29","100","% of Total Age Group Population","6.54681699","% of Total Ethnic Group Population","3901735","3901735"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","England","National","E92000001","All","All","Age 25 to 29","100","% of Total Age Group Population","6.576897865","% of Total Ethnic Group Population","3715285","3715285"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","Wales","National","W92000004","All","All","Age 25 to 29","100","% of Total Age Group Population","6.001857423","% of Total Ethnic Group Population","186445","186445"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East Midlands","Regional","E12000004","All","All","Age 25 to 29","100","% of Total Age Group Population","6.172363829","% of Total Ethnic Group Population","301170","301170"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","East of England","Regional","E12000006","All","All","Age 25 to 29","100","% of Total Age Group Population","6.124610764","% of Total Ethnic Group Population","387965","387965"
"Number and Percentage of Population of Region by Age Group","2021","Census 2021","London","Regional","E12000007","All","All","Age 25 to 29","100","% of Total Age Group Population","8.938531297","% of Total Ethnic Group Population","786555","786555"
