Year,Week,date,age_group,ILI,ILI_per_100k,total_samples,flu_samples,prop_flu,smooth_prop,ILI_flu
2022,19,2022-05-16,19-64,556.3142560000002,1.6000000000000008,34769641,43.63249066666668,0.043478260869565216,0.0784313725490196,14.544163555555574
2022,20,2022-05-23,19-64,486.7749739999998,1.3999999999999995,34769641,16.22583246666666,0,0.03333333333333333,5.408610822222225
2022,21,2022-05-30,19-64,486.7749739999998,1.3999999999999995,34769641,8.692410249999996,0,0.017857142857142856,2.573470399743389e-15
2022,22,2022-06-06,19-64,243.3874869999999,0.6999999999999997,34769641,4.425227036363634,0.045454545454545456,0.01818181818181818,1.310130385323907e-15
2022,23,2022-06-13,19-64,521.5446149999999,1.4999999999999998,34769641,21.287535306122447,0.058823529411764705,0.04081632653061225,6.3023764891674854e-15
2022,24,2022-06-20,19-64,521.5446149999999,1.4999999999999998,34769641,27.093226753246746,0.05263157894736842,0.051948051948051945,8.021206440758617e-15
2022,25,2022-06-27,19-64,382.4660509999999,1.0999999999999996,34769641,12.748868366666663,0,0.03333333333333333,4.2496227888888916
2022,26,2022-07-04,19-64,486.7749739999998,1.3999999999999995,34769641,16.641879452991446,0.045454545454545456,0.034188034188034185,5.547293150997154
2022,27,2022-07-11,19-64,625.8535380000003,1.8000000000000007,34769641,10.69835107692308,0,0.017094017094017092,3.56611702564103
2022,28,2022-07-18,19-64,347.69641,1,34769641,6.379750642201834,0,0.018348623853211007,1.888785614490561e-15
2022,29,2022-07-25,19-64,173.848205,0.5,34769641,0,0,0,0
2022,30,2022-08-01,19-64,417.23569200000003,1.2000000000000002,34769641,4.9086552,0.04,0.011764705882352941,1.4532538727962674e-15
2022,31,2022-08-08,19-64,382.4660509999999,1.0999999999999996,34769641,16.103833726315784,0.08108108108108109,0.042105263157894736,4.76769253005091e-15
2022,32,2022-08-15,19-64,278.1571280000001,0.8000000000000004,34769641,18.965258727272737,0.07692307692307693,0.06818181818181819,5.6148445085310356e-15
2022,33,2022-08-22,19-64,347.69641,1,34769641,31.608764545454548,0.14285714285714285,0.09090909090909091,9.358074180885055e-15
2022,34,2022-08-29,19-64,278.1571280000001,0.8000000000000004,34769641,23.9790627586207,0.05555555555555555,0.08620689655172414,7.099228688947286e-15
2022,35,2022-09-05,19-64,312.92676900000015,0.9000000000000004,34769641,34.137465709090925,0.13043478260869565,0.1090909090909091,11.379155236363653
2022,36,2022-09-12,19-64,347.69641,1,34769641,23.629853106796116,0.04838709677419355,0.06796116504854369,7.87661770226538
2022,37,2022-09-19,19-64,452.0053329999999,1.2999999999999996,34769641,24.152956725190837,0.021739130434782608,0.0534351145038168,8.05098557506362
2022,38,2022-09-26,19-64,521.5446149999999,1.4999999999999998,34769641,16.716173557692308,0.020833333333333332,0.032051282051282055,4.9489815379680575e-15
2022,39,2022-10-03,19-64,1043.0892299999998,2.9999999999999996,34769641,63.36523359813083,0.09166666666666666,0.06074766355140187,17.60145377725858
2022,40,2022-10-10,19-64,1251.7070760000006,3.6000000000000014,34769641,94.63077550515467,0.08130081300813008,0.07560137457044673,57.829918364261225
2022,41,2022-10-17,19-64,1495.0945629999997,4.299999999999999,34769641,122.13448542816899,0.07142857142857142,0.08169014084507042,110.82573677741264
2022,42,2022-10-24,19-64,1286.476717,3.7,34769641,98.95974746153846,0.07746478873239436,0.07692307692307691,82.607424519176
2022,43,2022-10-31,19-64,1390.78564,4,34769641,100.29704134615386,0.06790123456790123,0.07211538461538462,73.4368650312295
2022,44,2022-11-07,19-64,1356.0159990000002,3.9000000000000004,34769641,95.15901747368422,0.06578947368421052,0.07017543859649122,73.19924421052636
2022,45,2022-11-14,19-64,1808.0213319999996,5.199999999999998,34769641,166.52828057894732,0.14788732394366197,0.09210526315789473,133.18811976891726
2022,46,2022-11-21,19-64,1981.8695369999994,5.6999999999999975,34769641,207.13125802375288,0.10236220472440945,0.10451306413301661,165.66208877942222
2022,47,2022-11-28,19-64,2503.414152000001,7.200000000000003,34769641,347.8548138314352,0.1588235294117647,0.1389521640091116,230.1248223930404
2022,48,2022-12-05,19-64,3442.194459000001,9.900000000000002,34769641,515.2557194345115,0.17391304347826086,0.14968814968814967,343.5756155928288
2022,49,2022-12-12,19-64,5667.451483000003,16.300000000000008,34769641,1215.8546434117652,0.29017857142857145,0.21453287197231835,837.1253384595059
2022,50,2022-12-19,19-64,8901.028096000004,25.600000000000012,34769641,2857.5256249151303,0.4049382716049383,0.3210332103321033,2236.100842030235
2022,51,2022-12-26,19-64,11647.829735,33.5,34769641,4233.154120834285,0.3617886178861789,0.3634285714285714,3109.021308012986
2022,52,2023-01-02,19-64,6884.388918000002,19.800000000000004,34769641,2375.962734829583,0.24468085106382978,0.34512325830653806,1541.1475219272438
2023,1,2023-01-09,19-64,7753.629943000002,22.300000000000004,34769641,1760.0264287791413,0.09407665505226481,0.2269938650306748,926.1091446671202
2023,2,2023-01-16,19-64,4728.671176000001,13.600000000000003,34769641,665.5636373726543,0.05084745762711865,0.14075067024128687,310.5963641072389
2023,3,2023-01-23,19-64,2851.1105619999994,8.199999999999998,34769641,221.1257366567656,0.07746478873239436,0.07755775577557755,140.0462998826183
2023,4,2023-01-30,19-64,2190.4873829999997,6.3,34769641,110.24334750328225,0.021739130434782608,0.05032822757111597,69.8207867520788
2023,5,2023-02-06,19-64,2225.257024000001,6.400000000000003,34769641,128.00151023008854,0.06976744186046512,0.05752212389380531,64.00075511504433
2023,6,2023-02-13,19-64,2468.6445110000004,7.100000000000001,34769641,120.54951964543527,0.049689440993788817,0.04883227176220807,20.091586607572598
2023,7,2023-02-20,19-64,2155.7177420000003,6.2,34769641,119.02735998773008,0.04487179487179487,0.05521472392638037,5.285876624749001e-14
2023,8,2023-02-27,19-64,1947.0998959999993,5.599999999999998,34769641,111.50792355947131,0.08029197080291971,0.057268722466960346,4.9519465665546795e-14
2023,9,2023-03-06,19-64,1842.790973,5.3,34769641,126.50738945080091,0.08333333333333333,0.06864988558352403,10.542282454233465
2023,10,2023-03-13,19-64,1773.2516910000002,5.1000000000000005,34769641,137.91957596666668,0.07100591715976332,0.07777777777777778,11.493297997222284
2023,11,2023-03-20,19-64,1877.5606139999998,5.3999999999999995,34769641,126.01077946308723,0.04477611940298507,0.06711409395973154,10.500898288590658
2023,12,2023-03-27,19-64,1738.4820499999998,4.999999999999999,34769641,105.85604988290396,0.06451612903225806,0.06088992974238875,4.700952955034763e-14
2023,13,2023-04-03,19-64,1529.8642039999995,4.399999999999999,34769641,91.79185223999997,0.07608695652173914,0.06,4.0763771131935286e-14
2023,14,2023-04-10,19-64,904.0106659999998,2.599999999999999,34769641,61.08180175675675,0.0625,0.06756756756756757,2.712576907837627e-14
2023,15,2023-04-17,19-64,938.7803069999999,2.6999999999999997,34769641,61.08501997602739,0.058333333333333334,0.06506849315068493,2.7127198254829294e-14
2023,16,2023-04-24,19-64,1043.0892299999998,2.9999999999999996,34769641,45.65710434343433,0.010309278350515464,0.043771043771043766,2.0275827391917612e-14
2023,17,2023-05-01,19-64,764.9321019999998,2.1999999999999993,34769641,24.071289923076918,0.014492753623188406,0.03146853146853147,1.0689800122011003e-14
2023,18,2023-05-08,19-64,625.8535380000003,1.8000000000000007,34769641,5.489943315789476,0,0.008771929824561403,2.438024589230581e-15
2023,19,2023-05-15,19-64,591.0838970000001,1.7000000000000004,34769641,9.187832595854925,0.03225806451612903,0.015544041450777204,4.080217317727863e-15
2023,20,2023-05-22,19-64,556.3142560000002,1.6000000000000008,34769641,8.471790700507617,0.0136986301369863,0.015228426395939085,3.762230838203536e-15
2023,21,2023-05-29,19-64,591.0838970000001,1.7000000000000004,34769641,9.432189845744684,0,0.01595744680851064,4.188733735752541e-15
2023,22,2023-06-05,19-64,486.7749739999998,1.3999999999999995,34769641,2.4709389543147195,0,0.005076142131979695,1.0973173278093638e-15
2023,23,2023-06-12,19-64,625.8535380000003,1.8000000000000007,34769641,3.793051745454547,0.024390243902439025,0.006060606060606061,1.6844533525593107e-15
2023,24,2023-06-19,19-64,347.69641,1,34769641,5.960509885714286,0.031746031746031744,0.017142857142857144,2.6469981254503443e-15
