date,group,percentage_h3,percentage_h3_new,percentage_h1n1,percentage_h1n1_new,percentage_b,flu_prop,flu_prop_smooth,Year,Week,ILI,N,ILI_per_100k,Season,Influenza,ILI_plus
2022-03-14,5-18,1,0.6666666666666671,0,0,0,0.15789473684210525,0.14814814814814814,2022,10,122.03958600000001,9797125,1.2456673360807382,2021/22,18.079938666666667,12.053292444444452
2022-03-21,5-18,1,1.0000000000000004,0,0,0,0.08333333333333333,0.13513513513513514,2022,11,84.10577099999999,9797125,0.8584740013014022,2021/22,11.365644729729729,11.365644729729734
2022-03-28,5-18,0.6666666666666666,0.8888888888888893,0,0,0.3333333333333333,0.08333333333333333,0.11627906976744186,2022,12,155.499315,9797125,1.5871933347793359,2021/22,18.08131569767442,16.07228062015505
2022-04-04,5-18,1,0.8888888888888893,0,0,0,0,0.07692307692307693,2022,13,154.24463,9797125,1.5743866695586715,2021/22,11.864971538461539,10.546641367521373
2022-04-11,5-18,1,0.8888888888888893,0,0,0,0.25,0.1111111111111111,2022,14,140.074852,9797125,1.4297546678234685,2021/22,15.563872444444442,13.834553283950621
2022-04-18,5-18,1,1.0000000000000004,0,0,0,0.3333333333333333,0.25,2022,15,75.766197,9797125,0.7733513352131365,2021/22,18.94154925,18.94154925000001
2022-04-25,5-18,1,1.0000000000000004,0,0,0,0.5,0.3333333333333333,2022,16,100.88635200000003,9797125,1.029754667823469,2021/22,33.62878400000001,33.628784000000024
2022-05-02,5-18,1,1.0000000000000004,0,0,0,0,0.3333333333333333,2022,17,60.341733999999995,9797125,0.6159126682572693,2021/22,20.11391133333333,20.11391133333334
2022-05-09,5-18,1,1.0000000000000004,0,0,0,0,0.08333333333333333,2022,18,95.25901400000001,9797125,0.9723160008676015,2021/22,7.938251166666667,7.938251166666671
2022-05-16,5-18,1,1.0000000000000004,0,0,0,0.25,0.07142857142857142,2022,19,128.820176,9797125,1.3148773339117343,2021/22,9.201441142857142,9.201441142857146
2022-05-23,5-18,0,0.6666666666666671,0,0,0,0,0.037037037037037035,2022,20,158.11011799999997,9797125,1.613841999566199,2021/22,5.855930296296295,3.903953530864199
2022-05-30,5-18,0,0.33333333333333376,0,0,0,0,0.041666666666666664,2022,21,116.20938199999998,9797125,1.1861580004338004,2021/22,4.842057583333332,1.6140191944444462
2022-06-06,5-18,0,4.440892098500626e-16,0,0,0,0,0,2022,22,40.646051,9797125,0.4148773339117343,2021/22,0,0
2022-06-13,5-18,1,0.33333333333333376,0,0,0,0,0,2022,23,91.08922700000001,9797125,0.9297546678234687,2021/22,0,0
