Week_commencing,B,H1N1,H3,A,age_group
2022-11-28,NA,NA,3,NA,less than 5
2022-12-05,4,7,17,3,less than 5
2022-12-12,1,18,18,2,less than 5
2022-12-19,1,15,27,10,less than 5
2022-12-26,1,5,13,2,less than 5
2023-01-02,NA,3,7,NA,less than 5
2023-01-09,1,3,4,NA,less than 5
2023-01-16,1,2,2,NA,less than 5
2023-01-23,NA,2,2,NA,less than 5
2023-01-30,NA,NA,2,NA,less than 5
2023-02-06,NA,NA,NA,NA,less than 5
2023-02-13,NA,NA,NA,NA,less than 5
2023-02-20,1,NA,1,NA,less than 5
2023-02-27,2,NA,NA,NA,less than 5
2023-03-06,NA,NA,NA,NA,less than 5
2023-03-13,NA,1,NA,1,less than 5
2023-03-20,NA,NA,NA,NA,less than 5
2023-03-27,NA,1,NA,NA,less than 5
2023-04-03,NA,1,NA,NA,less than 5
2023-04-10,NA,NA,NA,NA,less than 5
2023-04-17,NA,NA,NA,NA,less than 5
2023-04-24,NA,NA,NA,NA,less than 5
2023-05-01,NA,NA,NA,NA,less than 5
2023-05-08,NA,NA,NA,NA,less than 5
2023-05-15,1,NA,NA,NA,less than 5
2023-05-22,NA,NA,NA,NA,less than 5
2023-05-29,NA,NA,NA,NA,less than 5
2023-06-05,NA,NA,NA,NA,less than 5
2023-06-12,NA,NA,NA,NA,less than 5
2023-06-19,NA,NA,NA,NA,less than 5
2023-06-26,NA,NA,NA,NA,less than 5
2023-07-03,NA,NA,NA,NA,less than 5
2023-07-10,NA,NA,NA,NA,less than 5
2023-07-17,NA,NA,NA,NA,less than 5
2023-07-24,NA,NA,NA,NA,less than 5
2023-07-31,NA,NA,NA,NA,less than 5
2023-08-07,NA,NA,NA,NA,less than 5
2023-08-14,NA,NA,NA,NA,less than 5
2023-08-21,NA,NA,NA,NA,less than 5
2023-08-28,NA,NA,NA,NA,less than 5
2023-09-04,NA,NA,NA,NA,less than 5
2023-09-11,NA,NA,NA,NA,less than 5
2023-09-18,NA,NA,NA,NA,less than 5
2023-09-25,NA,NA,NA,NA,less than 5
2023-10-02,NA,NA,NA,NA,less than 5
2023-10-09,NA,NA,NA,NA,less than 5
2023-10-16,1,NA,1,NA,less than 5
2023-10-23,NA,NA,1,NA,less than 5
2023-10-30,NA,NA,NA,NA,less than 5
2023-11-06,NA,NA,1,NA,less than 5
2023-11-13,NA,NA,NA,NA,less than 5
2023-11-20,NA,NA,1,NA,less than 5
2023-11-27,NA,NA,NA,NA,less than 5
2023-12-04,NA,NA,2,NA,less than 5
2023-12-11,NA,NA,3,NA,less than 5
2023-12-18,NA,NA,12,NA,less than 5
2023-12-25,NA,NA,1,NA,less than 5
2022-01-10,NA,NA,NA,NA,5-18
2022-01-17,NA,NA,NA,NA,5-18
2022-01-24,NA,NA,NA,NA,5-18
2022-01-31,NA,NA,NA,NA,5-18
2022-02-07,NA,NA,NA,NA,5-18
2022-02-14,NA,NA,NA,NA,5-18
2022-02-21,NA,NA,NA,NA,5-18
2022-02-28,NA,NA,NA,NA,5-18
2022-03-07,NA,NA,1,NA,5-18
2022-03-14,NA,NA,3,NA,5-18
2022-03-21,NA,1,1,NA,5-18
2022-03-28,NA,1,1,NA,5-18
2022-04-04,NA,NA,NA,NA,5-18
2022-04-11,NA,NA,1,NA,5-18
2022-04-18,NA,NA,2,NA,5-18
2022-04-25,NA,NA,NA,NA,5-18
2022-05-02,NA,NA,1,NA,5-18
2022-05-09,NA,NA,1,NA,5-18
2022-05-16,NA,NA,1,NA,5-18
2022-05-23,NA,NA,NA,NA,5-18
2022-05-30,NA,NA,NA,NA,5-18
2022-06-06,NA,NA,NA,NA,5-18
2022-06-13,NA,NA,NA,NA,5-18
2022-06-20,NA,NA,NA,NA,5-18
2022-06-27,NA,NA,NA,NA,5-18
2022-07-04,NA,NA,NA,NA,5-18
2022-07-11,NA,NA,NA,NA,5-18
2022-07-18,NA,NA,NA,NA,5-18
2022-07-25,NA,NA,NA,NA,5-18
2022-08-01,NA,NA,NA,NA,5-18
2022-08-08,NA,NA,1,NA,5-18
2022-08-15,NA,NA,NA,NA,5-18
2022-08-22,NA,NA,NA,NA,5-18
2022-08-29,NA,NA,NA,NA,5-18
2022-09-05,NA,NA,1,NA,5-18
2022-09-12,NA,NA,2,NA,5-18
2022-09-19,NA,NA,NA,NA,5-18
2022-09-26,NA,NA,NA,NA,5-18
2022-10-03,1,NA,5,NA,5-18
2022-10-10,NA,NA,2,NA,5-18
2022-10-17,NA,NA,1,NA,5-18
2022-10-24,1,NA,8,1,5-18
2022-10-31,NA,NA,9,NA,5-18
2022-11-07,NA,NA,2,NA,5-18
2022-11-14,1,NA,7,1,5-18
2022-11-21,1,NA,5,NA,5-18
2022-11-28,1,NA,14,2,5-18
2022-12-05,3,NA,35,11,5-18
2022-12-12,1,NA,56,5,5-18
2022-12-19,1,NA,97,22,5-18
2022-12-26,7,NA,27,2,5-18
2023-01-02,4,NA,6,NA,5-18
2023-01-09,3,NA,2,1,5-18
2023-01-16,3,NA,2,NA,5-18
2023-01-23,NA,NA,2,NA,5-18
2023-01-30,2,NA,2,NA,5-18
2023-02-06,7,1,4,NA,5-18
2023-02-13,6,2,NA,NA,5-18
2023-02-20,6,NA,NA,NA,5-18
2023-02-27,1,NA,NA,NA,5-18
2023-03-06,3,NA,1,NA,5-18
2023-03-13,1,NA,NA,NA,5-18
2023-03-20,4,NA,NA,NA,5-18
2023-03-27,2,NA,NA,NA,5-18
2023-04-03,4,NA,NA,NA,5-18
2023-04-10,NA,NA,NA,NA,5-18
2023-04-17,NA,NA,NA,NA,5-18
2023-04-24,2,NA,NA,NA,5-18
2023-05-01,NA,NA,NA,NA,5-18
2023-05-08,2,NA,NA,NA,5-18
2023-05-15,NA,NA,NA,NA,5-18
2023-05-22,NA,NA,NA,NA,5-18
2023-05-29,NA,NA,NA,NA,5-18
2023-06-05,NA,NA,NA,NA,5-18
2023-06-12,NA,NA,NA,NA,5-18
2023-06-19,NA,NA,1,NA,5-18
2023-06-26,NA,NA,NA,NA,5-18
2023-07-03,NA,NA,NA,NA,5-18
2023-07-10,NA,NA,NA,NA,5-18
2023-07-17,NA,NA,NA,NA,5-18
2023-07-24,NA,NA,NA,NA,5-18
2023-07-31,1,NA,NA,NA,5-18
2023-08-07,NA,NA,NA,NA,5-18
2023-08-14,NA,NA,2,NA,5-18
2023-08-21,NA,NA,NA,NA,5-18
2023-08-28,NA,NA,NA,NA,5-18
2023-09-04,NA,NA,NA,NA,5-18
2023-09-11,NA,NA,NA,NA,5-18
2023-09-18,NA,NA,NA,NA,5-18
2023-09-25,NA,NA,NA,NA,5-18
2023-10-02,NA,NA,NA,NA,5-18
2023-10-09,NA,NA,NA,NA,5-18
2023-10-16,1,NA,1,NA,5-18
2023-10-23,NA,NA,1,NA,5-18
2023-10-30,NA,NA,NA,NA,5-18
2023-11-06,NA,NA,NA,NA,5-18
2023-11-13,NA,NA,NA,NA,5-18
2023-11-20,NA,NA,1,NA,5-18
2023-11-27,NA,NA,NA,NA,5-18
2023-12-04,NA,NA,NA,NA,5-18
2023-12-11,NA,NA,NA,NA,5-18
2023-12-18,NA,NA,NA,NA,5-18
2023-12-25,NA,NA,NA,NA,5-18
2022-01-10,NA,NA,NA,NA,19-64
2022-01-17,NA,NA,NA,NA,19-64
2022-01-24,NA,NA,NA,NA,19-64
2022-01-31,NA,NA,NA,NA,19-64
2022-02-07,NA,NA,NA,NA,19-64
2022-02-14,NA,NA,NA,NA,19-64
2022-02-21,NA,NA,1,NA,19-64
2022-02-28,NA,NA,NA,NA,19-64
2022-03-07,NA,NA,2,NA,19-64
2022-03-14,NA,NA,1,NA,19-64
2022-03-21,NA,NA,5,NA,19-64
2022-03-28,1,NA,2,NA,19-64
2022-04-04,NA,NA,2,NA,19-64
2022-04-11,NA,NA,2,NA,19-64
2022-04-18,NA,NA,2,NA,19-64
2022-04-25,NA,NA,2,NA,19-64
2022-05-02,NA,NA,2,NA,19-64
2022-05-09,NA,NA,1,NA,19-64
2022-05-16,NA,NA,1,NA,19-64
2022-05-23,NA,NA,NA,NA,19-64
2022-05-30,NA,NA,NA,NA,19-64
2022-06-06,NA,NA,NA,NA,19-64
2022-06-13,NA,NA,1,NA,19-64
2022-06-20,NA,NA,2,NA,19-64
2022-06-27,NA,NA,2,NA,19-64
2022-07-04,NA,NA,NA,NA,19-64
2022-07-11,NA,NA,NA,NA,19-64
2022-07-18,NA,NA,NA,NA,19-64
2022-07-25,NA,NA,NA,NA,19-64
2022-08-01,NA,NA,1,NA,19-64
