Year,Week,date,age_group,ILI,ILI_per_100k,flu_samples,prop_flu,smooth_total_samples,smooth_flu_samples,smooth_prop,ILI_flu
2022,29,2022-07-24,5-18,48.985625,0.5,0,0,7.600666666666655,1.176836406102666e-14,1.5483331367020452e-15,7.584606640956012e-14
2022,30,2022-07-31,5-18,61.697852000000005,0.6297546678234687,0,0,5.896333333333321,1.176836406102666e-14,1.995878352822661e-15,1.2314140722245633e-13
2022,31,2022-08-07,5-18,51.900727,0.5297546678234686,0,0,5.582999999999989,0.10166666666667844,0.018210042390592627,0.9451144387725754
2022,32,2022-08-14,5-18,43.459720000000004,0.4435966673896679,0.305,0.041901360076933646,4.805999999999989,0.10166666666667844,0.021154112914415036,0.9193518241088615
2022,33,2022-08-21,5-18,42.103602,0.42975466782346866,0,0,4.491999999999989,0.10166666666667844,0.022632828732564263,0.9529236130900502
2022,34,2022-08-28,5-18,36.476264,0.37231600086760147,0,0,2.787333333333322,0.09700000000001176,0.03480028701268075,1.2693844563503145
2022,35,2022-09-04,5-18,39.289933000000005,0.40103533434553507,0.291,0.1344110854503464,2.7826666666666555,0.09700000000001176,0.03485864877815482,1.3695939749642347
2022,36,2022-09-11,5-18,42.103602,0.42975466782346866,0,0,5.405999999999989,1.5836666666666783,0.29294610926131737,12.334086391787022
2022,37,2022-09-18,5-18,106.41225700000001,1.086158000433801,4.46,0.42468101314035417,9.574333333333323,1.735333333333345,0.18124847683041606,19.28705949733678
2022,38,2022-09-25,5-18,98.07268300000003,1.0010353343455354,0.746,0.05085207907293797,16.524999999999988,4.301000000000012,0.26027231467473616,25.525604210771654
2022,39,2022-10-02,5-18,147.261174,1.5031060030366052,7.697,0.3154120395033398,26.41199999999999,6.769333333333345,0.2562976424857394,37.74269172588226
2022,40,2022-10-09,5-18,233.977748,2.388228669124871,11.865,0.29542115877797975,31.044333333333324,10.474333333333346,0.33739920328991924,78.94390576276949
2022,41,2022-10-16,5-18,274.623799,2.8031060030366053,11.861,0.41519935590016455,37.53166666666666,8.151333333333346,0.2171854878102939,59.64430375013111
2022,42,2022-10-23,5-18,299.64252100000004,3.058474001301403,0.728,0.01659637524222045,36.13633333333332,7.37466666666668,0.20407899713123492,61.15074518355501
2022,43,2022-10-30,5-18,336.017352,3.429754667823469,9.535,0.2650304361119604,42.314333333333316,7.215666666666679,0.1705253538989944,57.299477866002974
2022,44,2022-11-06,5-18,298.286403,3.044632001735203,11.384,0.24169338230610815,43.08233333333332,15.094000000000014,0.35035242597507144,104.50536492642783
2022,45,2022-11-13,5-18,411.68211599999995,4.20207066869107,24.363,0.5276917412116355,48.79666666666665,31.318000000000012,0.6418061342987913,264.22010742990653
2022,46,2022-11-20,5-18,649.221053,6.626648664786863,58.207,1.0957643072289158,54.97433333333331,53.415333333333344,0.971641311399866,630.8099953253219
