Year,Week,date,age_group,ILI,ILI_per_100k,flu_samples,prop_flu,smooth_total_samples,smooth_flu_samples,smooth_prop,ILI_flu
2023,11,2023-03-19,5-18,453.075687,4.624577996095794,1,0.01818181818181818,56.666666666666664,3,0.052941176470588235,23.9863599
2023,12,2023-03-26,5-18,416.700856,4.253297329573727,4,0.057971014492753624,60,2.3333333333333335,0.03888888888888889,16.205033288888888
2023,13,2023-04-02,5-18,394.49580299999997,4.026648664786864,2,0.03571428571428571,53.333333333333336,3.3333333333333335,0.0625,24.655987687499998
2023,14,2023-04-09,5-18,237.843236,2.427683999132398,4,0.11428571428571428,36.333333333333336,2,0.055045871559633024,13.092288220183486
2023,15,2023-04-16,5-18,250.45403,2.556403332610332,0,0,27.333333333333332,1.3333333333333333,0.04878048780487805,12.217269756097561
2023,16,2023-04-23,5-18,260.149722,2.655367998264797,0,0,29,0.6666666666666666,0.022988505747126436,5.980453379310345
2023,17,2023-04-30,5-18,187.40006,1.9128066652206641,2,0.05,29,0.6666666666666666,0.022988505747126436,4.308047356321839
2023,18,2023-05-07,5-18,167.907243,1.7138419995661993,0,0,29,1.3333333333333333,0.04597701149425287,7.71987324137931
2023,19,2023-05-14,5-18,103.70002100000002,1.0584740013014025,2,0.06896551724137931,28.666666666666668,0.6666666666666666,0.02325581395348837,2.411628395348837
2023,20,2023-05-21,5-18,128.820176,1.3148773339117343,0,0,34,0.6666666666666666,0.0196078431372549,2.5258858039215686
2023,21,2023-05-28,5-18,103.70002100000002,1.0584740013014025,0,0,31.333333333333332,0,0,0
2023,22,2023-06-04,5-18,74.30864600000001,0.7584740013014023,0,0,26.333333333333332,0,0,0
2023,23,2023-06-11,5-18,99.53023400000001,1.0159126682572694,0,0,22.333333333333332,0,0,0
2023,24,2023-06-18,5-18,90.987794,0.9287193334779335,0,0,22.666666666666668,0,0,0
2023,25,2023-06-25,5-18,64.410088,0.6574386669558672,0,0,22,0.6666666666666666,0.0303030303030303,1.9518208484848483
2023,26,2023-07-02,5-18,70.037426,0.7148773339117342,2,0.09090909090909091,24.666666666666668,0.6666666666666666,0.027027027027027025,1.8929034054054052
2023,27,2023-07-09,5-18,51.900727,0.5297546678234686,0,0,23.666666666666668,0.6666666666666666,0.02816901408450704,1.461992309859155
2023,28,2023-07-16,5-18,54.714395999999994,0.5584740013014021,0,0,26,0,0,0
2023,29,2023-07-23,5-18,57.528065,0.5871933347793358,0,0,22,0,0,0
2023,30,2023-07-30,5-18,57.629498000000005,0.5882286691248709,0,0,19.333333333333332,0,0,0
2023,31,2023-08-06,5-18,56.171947,0.5733513352131365,0,0,14.666666666666666,0,0,0
2023,32,2023-08-13,5-18,61.799285,0.6307900021690037,0,0,14,0,0,0
