Year,Week,date,group,ILI,N,ILI_per_100k,positivity,Season,percentage_h3,Influenza_cases,ILIplus
2025,11,2025-03-16,15-44,1813.0994540000002,22950626,7.9,0.142,2024 to 2025,0.2586206896551724,257.460122468,66.5845144313793
2025,12,2025-03-23,15-44,1675.395698,22950626,7.300000000000001,0.13899999999999998,2024 to 2025,0.22000000000000003,232.88000202199999,51.23360044484
2025,13,2025-03-30,15-44,1491.7906899999998,22950626,6.499999999999999,0.14100000000000001,2024 to 2025,0.18367346938775508,210.34248729,38.63433440020408
2025,14,2025-04-06,15-44,1262.2844299999997,22950626,5.499999999999999,0.10600000000000001,2024 to 2025,0.2647058823529412,133.80214958,35.41821606529412
2025,15,2025-04-13,15-44,1009.8275440000001,22950626,4.4,0.09199999999999998,2024 to 2025,0.3,92.90413404799999,27.871240214399997
2025,16,2025-04-20,15-44,688.5187800000001,22950626,3.0000000000000004,0.057999999999999996,2024 to 2025,0.22727272727272727,39.934089240000006,9.075929372727273
2025,17,2025-04-27,15-44,619.6669019999999,22950626,2.6999999999999997,0.052,2024 to 2025,0.3333333333333333,32.222678904,10.740892967999999
2025,18,2025-05-04,15-44,504.91377200000005,22950626,2.2,0.03700000000000001,2024 to 2025,0.4666666666666666,18.68180956400001,8.718177796533336
2025,19,2025-05-11,15-44,413.111268,22950626,1.7999999999999998,0.03700000000000001,2024 to 2025,0.36363636363636365,15.285116916000005,5.558224333090911
2025,20,2025-05-18,15-44,459.01251999999994,22950626,1.9999999999999998,0.019000000000000003,2024 to 2025,0.22222222222222227,8.72123788,1.9380528622222226
2025,21,2025-05-25,15-44,390.16064200000005,22950626,1.7000000000000002,0.015000000000000001,2024 to 2025,0.27272727272727276,5.852409630000001,1.5961117172727277
2025,22,2025-06-01,15-44,367.2100160000001,22950626,1.6000000000000003,0.016,2024 to 2025,0.375,5.875360256000002,2.203260096000001
2025,23,2025-06-08,15-44,504.91377200000005,22950626,2.2,0.016,2024 to 2025,0.25,8.078620352000002,2.0196550880000004
2025,24,2025-06-15,15-44,481.96314600000005,22950626,2.1,0.015000000000000001,2024 to 2025,0.3333333333333333,7.229447190000001,2.40981573
2025,25,2025-06-22,15-44,321.30876399999994,22950626,1.3999999999999997,0.009,2024 to 2025,0.33333333333333337,2.891778875999999,0.9639262919999998
2025,26,2025-06-29,15-44,321.30876399999994,22950626,1.3999999999999997,0.009,2024 to 2025,0.4,2.891778875999999,1.1567115503999996
2025,27,2025-07-06,15-44,298.358138,22950626,1.3,0.009,2025 to 2026,0,2.6852232419999997,0
2025,28,2025-07-13,15-44,298.358138,22950626,1.3,0.008,2025 to 2026,0.33333333333333337,2.386865104,0.7956217013333334
2025,29,2025-07-20,15-44,252.45688600000003,22950626,1.1,0.011,2025 to 2026,0.4,2.777025746,1.1108102984000001
2025,30,2025-07-27,15-44,321.30876399999994,22950626,1.3999999999999997,0.018,2025 to 2026,0.14285714285714288,5.783557751999998,0.8262225359999998
2025,31,2025-08-03,15-44,321.30876399999994,22950626,1.3999999999999997,0.006999999999999998,2025 to 2026,0.25,2.249161347999999,0.5622903369999998
2025,32,2025-08-10,15-44,298.358138,22950626,1.3,0.016,2025 to 2026,0.4285714285714286,4.773730208,2.045884374857143
2025,33,2025-08-17,15-44,321.30876399999994,22950626,1.3999999999999997,0.013,2025 to 2026,0.25,4.177013931999999,1.0442534829999996
2025,34,2025-08-24,15-44,321.30876399999994,22950626,1.3999999999999997,0.012,2025 to 2026,0.37499999999999994,3.855705167999999,1.4458894379999996
2025,35,2025-08-31,15-44,275.4075119999999,22950626,1.1999999999999995,0.013999999999999997,2025 to 2026,0.35714285714285715,3.8557051679999974,1.377037559999999
2025,36,2025-09-07,15-44,436.0618940000001,22950626,1.9000000000000006,0.013999999999999997,2025 to 2026,0.5714285714285714,6.104866516,3.488495152
2025,37,2025-09-14,15-44,459.01251999999994,22950626,1.9999999999999998,0.016,2025 to 2026,0.5,7.344200319999999,3.6721001599999994
2025,38,2025-09-21,15-44,504.91377200000005,22950626,2.2,0.027999999999999994,2025 to 2026,0.6000000000000001,14.137585615999999,8.482551369600001
2025,39,2025-09-28,15-44,849.173162,22950626,3.7,0.072,2025 to 2026,0.5,61.140467664,30.570233832
2025,40,2025-10-05,15-44,1101.6300479999995,22950626,4.799999999999998,0.11,2025 to 2026,0.6470588235294118,121.17930527999995,78.41013871058821
2025,41,2025-10-12,15-44,1377.0375600000002,22950626,6.000000000000001,0.117,2025 to 2026,0.6818181818181819,161.11339452000004,109.85004171818186
