week,virus,age,percent,date_start
49,fluB,5,0.06628214185481607,2024-12-02
49,H1,5,0.16209075688805874,2024-12-02
49,H3,5,0.03057165806969841,2024-12-02
49,A,5,0.0290425912843194,2024-12-02
50,fluB,5,0.02210372492282109,2024-12-09
50,H1,5,0.2538250863729181,2024-12-09
50,H3,5,0.02906194656008365,2024-12-09
50,A,5,0,2024-12-09
51,fluB,5,0.08345027145774275,2024-12-16
51,H1,5,0.3424916046491372,2024-12-16
51,H3,5,9.677637882177235e-6,2024-12-16
51,A,5,0.00306781120864019,2024-12-16
52,fluB,5,0.08514385808711822,2024-12-23
52,H1,5,0.4250805663353688,2024-12-23
52,H3,5,0.03668792521121444,2024-12-23
52,A,5,0,2024-12-23
53,fluB,5,0.06847896565406342,2024-12-30
53,H1,5,0.31499743542596115,2024-12-30
53,H3,5,0.03058133570758037,2024-12-30
53,A,5,0.00305813357075812,2024-12-30
54,fluB,5,0.27814499037075047,2025-01-06
54,H1,5,0.2629994870851923,2025-01-06
54,H3,5,0.03363946927833849,2025-01-06
54,A,5,0.06880800534205611,2025-01-06
55,fluB,5,0.15751323416980378,2025-01-13
55,H1,5,0.4419099786124204,2025-01-13
55,H3,5,0.02598445771356128,2025-01-13
55,A,5,0.00151938914749694,2025-01-13
56,fluB,5,0.119460762017207,2025-01-20
56,H1,5,0.27981922172436147,2025-01-20
56,H3,5,0.056565793421141763,2025-01-20
56,A,5,0,2025-01-20
57,fluB,5,0.3000454848980463,2025-01-27
57,H1,5,0.26452855387057117,2025-01-27
57,H3,5,9.677637882177235e-6,2025-01-27
57,A,5,0.001529066785379,2025-01-27
58,fluB,5,0.3659598765133408,2025-02-03
58,H1,5,0,2025-02-03
58,H3,5,0.06879832770417393,2025-02-03
58,A,5,0.001529066785379,2025-02-03
59,fluB,5,0.2912194791495294,2025-02-10
59,H1,5,0.01988754584780949,2025-02-10
59,H3,5,0.07797272841644809,2025-02-10
59,A,5,1.9355275764409985e-5,2025-02-10
60,fluB,5,0.4473488111021863,2025-02-17
60,H1,5,0.00153874442326118,2025-02-17
60,H3,5,0.02903291364643734,2025-02-17
60,A,5,0,2025-02-17
61,fluB,5,0.36647279132109456,2025-02-24
61,H1,5,0.06269173820053986,2025-02-24
61,H3,5,0.0978602742642576,2025-02-24
61,A,5,0,2025-02-24
62,fluB,5,0.2320794340517367,2025-03-03
62,H1,5,0,2025-03-03
62,H3,5,0.11315094211804788,2025-03-03
62,A,5,0.0030678112086403,2025-03-03
63,fluB,5,0.30412944808431175,2025-03-10
63,H1,5,0.12538347640107994,2025-03-10
63,H3,5,0.20794340517366527,2025-03-10
63,A,5,0,2025-03-10
64,fluB,5,0.19420115938101845,2025-03-17
64,H1,5,0.02904259128431929,2025-03-17
64,H3,5,0.06118202669092532,2025-03-17
64,A,5,0,2025-03-17
65,fluB,5,0.47420425622514073,2025-03-24
65,H1,5,0.00304845593287594,2025-03-24
65,H3,5,0.03516853606371739,2025-03-24
65,A,5,0,2025-03-24
66,fluB,5,0.1196156042233214,2025-03-31
66,H1,5,0.00152906678537889,2025-03-31
66,H3,5,0.05657547105902383,2025-03-31
66,A,5,0.00153874442326132,2025-03-31
67,fluB,5,0.14426454790914645,2025-04-07
67,H1,5,0.00152906678537911,2025-04-07
67,H3,5,0,2025-04-07
67,A,5,0.00152906678537911,2025-04-07
68,fluB,5,0.09243111941237392,2025-04-14
68,H1,5,0.00152906678537911,2025-04-14
68,H3,5,0,2025-04-14
68,A,5,0.00152906678537888,2025-04-14
69,fluB,5,0.13541918688486532,2025-04-21
69,H1,5,0.12842225469607382,2025-04-21
69,H3,5,0,2025-04-21
69,A,5,0.00304845593287605,2025-04-21
70,fluB,5,0,2025-04-28
70,H1,5,0.00561302997164459,2025-04-28
