date,H3_sum,flu_pos_sum,Year,Week,Season
2020-03-30,0,74,2020,14,2019/20
2020-04-06,0,21,2020,15,2019/20
2020-04-13,0,3,2020,16,2019/20
2020-04-20,0,7,2020,17,2019/20
2020-04-27,0,1,2020,18,2019/20
2020-05-04,0,0,2020,19,2019/20
2020-05-11,0,0,2020,20,2019/20
2020-09-28,0,10,2020,40,2020/21
2020-10-05,0,8,2020,41,2020/21
2020-10-12,0,22,2020,42,2020/21
2020-10-19,0,24,2020,43,2020/21
2020-10-26,0,14,2020,44,2020/21
2020-11-02,0,15,2020,45,2020/21
2020-11-09,0,33,2020,46,2020/21
2020-11-16,0,30,2020,47,2020/21
2020-11-23,0,25,2020,48,2020/21
2020-11-30,0,36,2020,49,2020/21
2020-12-07,0,18,2020,50,2020/21
2020-12-14,0,23,2020,51,2020/21
2020-12-21,0,21,2020,52,2020/21
2020-12-28,0,11,2020,53,2020/21
2021-01-04,0,20,2021,1,2020/21
2021-01-11,0,11,2021,2,2020/21
2021-01-18,0,10,2021,3,2020/21
2021-01-25,0,11,2021,4,2020/21
2021-02-01,0,17,2021,5,2020/21
2021-02-08,0,13,2021,6,2020/21
2021-02-15,0,20,2021,7,2020/21
2021-02-22,0,5,2021,8,2020/21
2021-03-01,0,8,2021,9,2020/21
2021-03-08,0,6,2021,10,2020/21
2021-03-15,0,13,2021,11,2020/21
2021-03-22,0,0,2021,12,2020/21
2021-03-29,0,2,2021,13,2020/21
2021-04-05,0,8,2021,14,2020/21
2021-04-12,0,9,2021,15,2020/21
2021-04-19,0,14,2021,16,2020/21
2021-04-26,0,2,2021,17,2020/21
2021-05-03,0,7,2021,18,2020/21
2021-05-10,0,14,2021,19,2020/21
2021-05-17,0,4,2021,20,2020/21
2021-10-04,1,177,2021,40,2021/22
2021-10-11,0,185,2021,41,2021/22
2021-10-18,0,218,2021,42,2021/22
2021-10-25,102,178,2021,43,2021/22
2021-11-01,0,97,2021,44,2021/22
2021-11-08,0,109,2021,45,2021/22
2021-11-15,0,129,2021,46,2021/22
2021-11-22,1,131,2021,47,2021/22
2021-11-29,0,144,2021,48,2021/22
2021-12-06,0,154,2021,49,2021/22
2021-12-13,1,178,2021,50,2021/22
2021-12-20,0,156,2021,51,2021/22
2021-12-27,0,133,2021,52,2021/22
2022-01-03,0,104,2022,1,2021/22
2022-01-10,0,103,2022,2,2021/22
2022-01-17,0,71,2022,3,2021/22
2022-01-24,0,76,2022,4,2021/22
2022-01-31,2,68,2022,5,2021/22
2022-02-07,0,74,2022,6,2021/22
2022-02-14,0,109,2022,7,2021/22
2022-02-21,1,133,2022,8,2021/22
2022-02-28,0,162,2022,9,2021/22
2022-03-07,4,306,2022,10,2021/22
2022-03-14,429,434,2022,11,2021/22
2022-03-21,588,596,2022,12,2021/22
2022-03-28,3,717,2022,13,2021/22
2022-04-04,595,776,2022,14,2021/22
2022-04-11,4,896,2022,15,2021/22
2022-04-18,296,598,2022,16,2021/22
2022-04-25,2,476,2022,17,2021/22
2022-05-02,4,417,2022,18,2021/22
2022-05-09,2,370,2022,19,2021/22
2022-05-16,271,294,2022,20,2021/22
2022-05-23,35,155,2022,21,2021/22
2022-05-30,0,129,2022,22,2021/22
2022-06-06,1,144,2022,23,2021/22
2022-06-13,50,112,2022,24,2021/22
2022-06-20,0,96,2022,25,2021/22
2022-06-27,0,89,2022,26,2021/22
2022-07-04,43,92,2022,27,2022/23
2022-07-11,32,111,2022,28,2022/23
2022-07-18,0,94,2022,29,2022/23
2022-07-25,0,92,2022,30,2022/23
2022-08-01,23,76,2022,31,2022/23
2022-08-08,0,115,2022,32,2022/23
2022-08-15,0,95,2022,33,2022/23
2022-08-22,0,117,2022,34,2022/23
2022-08-29,0,134,2022,35,2022/23
2022-09-05,0,166,2022,36,2022/23
2022-09-12,0,190,2022,37,2022/23
2022-09-19,NA,34,2022,38,2022/23
2022-09-26,55,344,2022,39,2022/23
